병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감
길내과정형외과의원 원무과,정형외과,051-302-2522,부산 사상구 사상로 517,,,,,,,,,,
패밀리치과의원,치과,051-322-2879,"부산 사상구 가야대로282번길 1 4층,패밀리치과","09:00 - 17:00
12:30 - 14:00 휴게시간",,"09:00 - 17:00
12:30 - 14:00 휴게시간","09:00 - 17:00
12:30 - 14:00 휴게시간","09:00 - 17:00
12:30 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),,,
의료법인주현의료재단사상중앙병원,정신건강의학과,051-305-7001,부산 사상구 삼덕로5번길 85,"09:00 - 17:00
12:30 - 13:30 휴게시간",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
금비뇨기과의원,비뇨의학과,051-315-3106,부산 사상구 백양대로 880 우신아파트,09:30 - 18:30,,09:30 - 18:30,"09:30 - 18:30
접기",09:30 - 18:30,09:30 - 13:00,정기휴무 (매주 일요일),,,
배가정의학과의원,가정의학과,051-323-2468,부산 사상구 괘감로 115 광명당약국,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
김영문안과의원,안과,051-316-3049,부산 사상구 백양대로 884 우신모라아파트,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
한국요양병원,요양병원,051-328-8251,부산 사상구 광장로 33,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,"09:00 - 17:00
접기",09:00 - 17:00,정보없음,정보없음,09:00 - 17:00,,
권대식내과,내과,No phone number available,부산 사상구 사상로 236,,,,,,,,,,
경희새힘한의원,한의원,051-714-2002,부산 사상구 사상로 272,"08:30 - 18:00
12:30 - 14:00 휴게시간",,"08:30 - 18:00
12:30 - 14:00 휴게시간","08:30 - 18:00
12:30 - 14:00 휴게시간","08:30 - 18:00
12:30 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
덕성치과의원,치과,051-324-2277,"부산 사상구 대동로 137 , 3층","09:30 - 17:30
12:30 - 14:00 휴게시간",,"09:30 - 17:30
12:30 - 14:00 휴게시간","09:30 - 17:30
12:30 - 14:00 휴게시간","09:30 - 17:30
12:30 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),,,
강치과의원,치과,051-326-0874,부산 사상구 대동로 100-1 청운독서실,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
박승원소아청소년과의원,소아청소년과,051-315-7516,부산 사상구 가야대로 290-8,09:00 - 17:30,,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 14:30,정기휴무 (매주 일요일),,,
김세일한의원,한의원,051-315-6969,부산 사상구 낙동대로 768,"09:30 - 18:30
13:00 - 14:00 휴게시간",,09:30 - 20:30,"09:00 - 13:00
접기","09:30 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
미래소아청소년과의원,소아청소년과,051-322-7582,부산 사상구 백양대로 372-15,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
시티요양병원,요양병원,051-317-0080,부산 사상구 백양대로907번길 11,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 17:00,정기휴무 (매주 일요일),,,
푸른가정의학과의원,가정의학과,0507-1399-7704,부산 사상구 운산로 31 푸른비만에스테틱,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),,,
마이비한의원,한의원,051-311-5567,부산 사상구 엄궁북로 26,"09:30 - 20:00
13:00 - 14:00 휴게시간
19:00 접수마감",,"09:30 - 20:00
13:00 - 14:00 휴게시간
19:00 접수마감","09:30 - 14:00
13:00 접수마감","09:30 - 20:00
13:00 - 14:00 휴게시간
19:00 접수마감","09:30 - 14:00
13:00 접수마감",정기휴무 (매주 일요일),,,
다정부부치과의원,치과,051-317-2080,부산 사상구 가야대로 278,"09:30 - 18:00
13:00 - 14:00 휴게시간",,09:30 - 13:30,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:30,정기휴무 (매주 일요일),,,
조안영의원,가정의학과,051-323-1434,부산 사상구 학감대로49번길 34 구학마을아파트상가 2층,"09:00 - 18:20
12:40 - 14:00 휴게시간",,"09:00 - 18:20
12:40 - 14:00 휴게시간","09:00 - 18:20
12:40 - 14:00 휴게시간","09:00 - 18:20
12:40 - 14:00 휴게시간",09:00 - 12:40,정기휴무 (매주 일요일),,,
전봉균내과의원,내과,051-324-3882,부산 사상구 대동로 100-1 2층 전봉균내과,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
박성진치과의원,치과,051-327-2804,부산 사상구 백양대로 921,"09:30 - 18:00
12:00 - 14:00 휴게시간",,"09:30 - 18:00
12:00 - 14:00 휴게시간","09:30 - 18:00
12:00 - 14:00 휴게시간","09:30 - 18:00
12:00 - 14:00 휴게시간",09:30 - 12:00,정기휴무 (매주 일요일),,,
효성정형외과의원,정형외과,051-323-0066,부산 사상구 백양대로 945,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
정승진내과의원,내과,051-311-7575,부산 사상구 새벽로 167,"09:30 - 17:30
17:15 접수마감",,"09:30 - 17:30
17:15 접수마감","09:30 - 17:30
17:15 접수마감","09:30 - 17:30
17:15 접수마감",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
태웅한의원,한의원,051-311-3225,부산 사상구 백양대로342번길 22 LG신주례아파트 상가 2층,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
의료법인현백의료재단 사상제일요양병원,요양병원,051-301-0011,부산 사상구 사상로 280 사상제일요양병원,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,09:00 - 18:00,,
의료법인지석의료재단효성프라임요양병원,요양병원,051-304-1002,부산 사상구 백양대로 764,09:00 - 17:30,,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
이승재의원,외과,051-305-7582,부산 사상구 모라로110번길 85 모라영구임대아파트,"09:00 - 17:30
12:30 - 14:00 휴게시간",,"09:00 - 17:30
12:30 - 14:00 휴게시간","09:00 - 17:30
12:30 - 14:00 휴게시간","09:00 - 17:30
12:30 - 14:00 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),,,
해밀한의원,한의원,051-609-9511,부산 사상구 모라로 22 부산벤처타워 지하 1층,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
에이스부부치과의원,치과,051-315-1500,부산 사상구 사상로 218,10:00 - 18:30,,10:00 - 20:30,10:00 - 18:30,10:00 - 18:30,10:00 - 13:00,정기휴무 (매주 일요일),,,
현당한의원,한의원,051-326-6888,부산 사상구 사상로 241,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
의료법인 서원의료재단 감로수요양병원,요양병원,051-315-0030,부산 사상구 덕상로 116-38,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,09:00 - 18:00,,
강훈산부인과의원,산부인과,051-303-2015,부산 사상구 사상로 288-1,09:30 - 18:00,,09:30 - 18:00,"09:30 - 18:00
접기",09:30 - 18:00,09:30 - 13:00,정기휴무 (매주 일요일),,,
늘행복요양병원,요양병원,051-328-8275,부산 사상구 엄궁북로 32,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
이상주치과의원,치과,051-323-3118,부산 사상구 엄궁북로 19,"09:30 - 19:00
13:00 - 14:30 휴게시간",,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
맑은미소치과의원,치과,051-316-2879,부산 사상구 백양대로 945 2층,"09:30 - 20:00
13:00 - 14:00 휴게시간
19:00 접수마감",,"09:30 - 20:00
13:00 - 14:00 휴게시간
19:00 접수마감","09:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:30 - 13:00
12:00 접수마감",정기휴무 (매주 일요일),,,
동서스포츠클리닉센터,재활의학과,0507-1366-2684,부산 사상구 주례로 47 산학협력관 3층,"09:00 - 18:00
11:30 - 13:00 휴게시간
17:30 접수마감",,"09:00 - 18:00
11:30 - 13:00 휴게시간
17:30 접수마감","09:00 - 18:00
11:30 - 13:00 휴게시간
17:30 접수마감","09:00 - 18:00
11:30 - 13:00 휴게시간
17:30 접수마감",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
모라1동 마을건강센터,보건소,051-310-5248,부산 사상구 사상로 483 모라1동 마을건강센터,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,09:00 - 18:00,,
보훈공단 부산보훈병원 응급실,병원부속시설,051-601-6180,부산 사상구 백양대로 420,,,,,,,,,,
신모라대추나무한의원,한의원,051-314-8275,부산 사상구 백양대로 888 2층,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:40 접수마감",,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:40 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:40 접수마감
접기","09:00 - 19:00
13:00 - 14:00 휴게시간
18:40 접수마감","09:00 - 13:00
12:40 접수마감",정기휴무 (매주 일요일),,,
김덕근내과의원,내과,051-305-0550,부산 사상구 사상로 271,09:30 - 18:00,,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 14:00,정기휴무 (매주 일요일),,,
이명학치과의원,치과,051-314-2275,부산 사상구 백양대로 884 우신모라아파트,"09:30 - 18:30
12:30 - 14:30 휴게시간","09:30 - 18:30
12:30 - 14:30 휴게시간","09:30 - 18:30
12:30 - 14:30 휴게시간","09:30 - 18:30
12:30 - 14:30 휴게시간
접기","09:30 - 18:30
12:30 - 14:30 휴게시간",09:30 - 12:30,정보없음,09:30 - 18:30,12:30 - 14:30 ,
광명한의원,한의원,051-313-1075,부산 사상구 모라로110번길 25 사상중앙한의원,"09:00 - 18:00
12:00 - 14:00 휴게시간",,"09:00 - 18:00
12:00 - 14:00 휴게시간","09:00 - 18:00
12:00 - 14:00 휴게시간
접기","09:00 - 18:00
12:00 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),,,
조은치과의원,치과,051-313-2877,부산 사상구 광장로 77,09:30 - 20:30,,09:30 - 20:30,09:30 - 17:30,09:30 - 17:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
부광한의원,한의원,051-314-1075,부산 사상구 백양대로 949-6 세발유통,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),,,
김정숙치과의원,치과,051-326-9858,부산 사상구 사상로 226 김정숙치과2층,"10:00 - 18:00
13:00 - 14:00 휴게시간",,"10:00 - 18:00
13:00 - 14:00 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간",10:00 - 13:00,정기휴무 (매주 일요일),,,
제일한의원,한의원,051-311-7577,부산 사상구 가야대로 282,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 13:00
접기","09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
신주례부부치과,치과,051-324-5877,부산 사상구 백양대로342번길 21 엘지신주례아파트 상가,"10:30 - 17:30
13:00 - 14:20 휴게시간","10:30 - 17:30
13:00 - 14:20 휴게시간","10:30 - 17:30
13:00 - 14:20 휴게시간","10:30 - 17:30
13:00 - 14:20 휴게시간
접기","10:30 - 17:30
13:00 - 14:20 휴게시간",10:30 - 13:00,정보없음,10:30 - 17:30,13:00 - 14:20 ,
자연한의원,한의원,051-315-1075,부산 사상구 새벽로 166 4층,"09:20 - 19:00
13:00 - 14:00 휴게시간",,"09:20 - 19:00
13:00 - 14:00 휴게시간","09:20 - 19:00
13:00 - 14:00 휴게시간
접기","09:20 - 19:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
화인정형외과,정형외과,051-323-8200,부산 사상구 낙동대로 790 서울약국,,,,,,,,,,
하나부부치과의원,치과,051-312-8275,부산 사상구 가야대로 272,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
우성한의원,한의원,051-717-3115,부산 사상구 광장로 22,"10:30 - 19:00
13:30 - 14:30 휴게시간",,"10:30 - 19:00
13:30 - 14:30 휴게시간","10:30 - 19:00
13:30 - 14:30 휴게시간","10:30 - 19:00
13:30 - 14:30 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
부산보훈병원신체검사장,병원부속시설,No phone number available,부산 사상구 백양대로 420,,,,,,,,,,
송제한의원,한의원,051-322-1075,부산 사상구 낙동대로 751 동일타워 3층,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
주례자연병원,정신건강의학과,051-324-1004,부산 사상구 학장로 325,"09:30 - 17:00
12:30 - 13:30 휴게시간",,"09:30 - 17:00
12:30 - 13:30 휴게시간","09:30 - 17:00
12:30 - 13:30 휴게시간","09:30 - 17:00
12:30 - 13:30 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
이그린치과의원,치과,0507-1487-2886,부산 사상구 새벽로 166 종합의료센터,"10:00 - 18:30
13:00 - 14:30 휴게시간",,"10:00 - 18:30
13:00 - 14:30 휴게시간","10:00 - 18:30
13:00 - 14:30 휴게시간","10:00 - 18:30
13:00 - 14:30 휴게시간",10:00 - 13:00,정기휴무 (매주 일요일),,,
몸편한한의원,한의원,051-315-2333,부산 사상구 백양대로 893 궁전빌딩,,,,,,,,,,
부영한의원,한의원,051-317-7536,부산 사상구 낙동대로1210번길 96,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
부산광역시노인건강센터,노인전문병원,No phone number available,부산 사상구 학감대로39번길 129,,,,,,,,,,
이성록한의원,한의원,0507-1399-8575,부산 사상구 대동로 107 명정빌딩 3층 이성록한의원,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
인화마취통증의학과의원,마취통증의학과,051-315-2730,부산 사상구 엄궁로 91 인화소아과,09:00 - 18:30,09:00 - 18:30,09:00 - 18:30,"09:00 - 18:30
접기",09:00 - 18:30,09:00 - 13:00,정보없음,09:00 - 18:30,,
사상중앙요양병원,요양병원,No phone number available,부산 사상구 삼덕로5번길 85 사상중앙병원,,,,,,,,,,
고려한의원,한의원,051-301-0384,부산 사상구 사상로 297 황금당,"09:30 - 17:30
12:00 - 14:00 휴게시간",,"09:30 - 17:30
12:00 - 14:00 휴게시간","09:30 - 15:00
12:00 - 14:00 휴게시간","09:30 - 17:30
12:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
바른강치과의원,치과,051-305-0114,부산 사상구 사상로 325 부산정형외과 2층,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,"09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
길정형외과,정형외과,No phone number available,부산 사상구 사상로 517,,,,,,,,,,
김황세외과의원,외과,051-325-2233,부산 사상구 괘감로 100-1 가나소주방,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
황성윤한의원,한의원,051-313-9743,부산 사상구 학감대로 124,"08:30 - 17:30
13:00 - 14:00 휴게시간",,"08:30 - 17:30
13:00 - 14:00 휴게시간","08:30 - 17:30
13:00 - 14:00 휴게시간
접기","08:30 - 17:30
13:00 - 14:00 휴게시간",08:30 - 13:00,정기휴무 (매주 일요일),,,
박애의원,내과,051-302-4433,부산 사상구 사상로 289 박애가정의원,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
참조은한의원,한의원,051-325-1199,부산 사상구 사상로 243-1 2층 참조은한의원,09:30 - 19:00,,09:30 - 19:00,14:00 - 20:00,09:30 - 19:00,09:30 - 13:00,정기휴무 (매주 일요일),,,
의료법인길정의료재단 길정병원,"병원,의원",051-320-6451,부산 사상구 학감대로39번길 120 길정병원,,,,,,,,,,
용한의원,한의원,051-303-8275,부산 사상구 사상로 299 2층 용 한의원,"09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감",,"09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감",정기휴무 (매주 목요일),"09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","09:30 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
최가정의원,"병원,의원",051-301-5575,부산 사상구 모라로192번길 24 모라3단지 가동 종합상가,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
학장치과의원,치과,051-314-2730,부산 사상구 학감대로 132,"10:00 - 18:00
12:40 - 14:00 휴게시간",,"10:00 - 15:00
12:40 - 14:00 휴게시간","10:00 - 18:00
12:40 - 14:00 휴게시간","10:00 - 18:00
12:40 - 14:00 휴게시간",10:00 - 13:00,정기휴무 (매주 일요일),,,
주례치과의원,치과,051-327-9799,부산 사상구 가야대로 278-1,"09:30 - 18:30
13:00 - 14:30 휴게시간",,09:30 - 13:30,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),,,
송원당한의원,한의원,051-311-2475,부산 사상구 사상로250번길 14,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
김영길한의원,한의원,051-309-0505,부산 사상구 삼덕로46번길 103,"09:00 - 18:30
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정보없음,,,
아동의원,"병원,의원",051-323-2236,부산 사상구 학감대로49번길 34 구학마을아파트상가 1층,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 14:00,정기휴무 (매주 일요일),,,
하얀이치과의원,치과,051-305-9667,부산 사상구 사상로 478 모라약국,"10:00 - 18:30
12:30 - 14:00 휴게시간",,"10:00 - 18:30
12:30 - 14:00 휴게시간","10:00 - 18:30
12:30 - 14:00 휴게시간","10:00 - 18:30
12:30 - 14:00 휴게시간",10:00 - 13:00,정기휴무 (매주 일요일),,,
박용수치과의원,치과,051-327-3036,부산 사상구 백양대로 887,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
한국병원,"병원,의원",No phone number available,부산 사상구 광장로 33,,,,,,,,,,
조세규치과의원,치과,051-326-2882,부산 사상구 새벽로 167,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
김상근치과의원,치과,051-862-9911,부산 사상구 백양대로 888 김상근치과,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","10:00 - 20:30
12:30 - 14:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
김대영치과의원,치과,051-324-5355,부산 사상구 대동로 91,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
유플러스치과의원,치과,051-208-7928,부산 사상구 가야대로 256 한빛빌딩 5층,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 21:00
12:30 - 14:00 휴게시간
18:00 - 18:30 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",정보없음,정기휴무 (매주 일요일),,,
조윤일치과의원,치과,051-322-2804,부산 사상구 엄궁북로 21,,,,,,,,,,
미래치과의원,치과,051-305-2875,부산 사상구 사상로 295,,,,,,,,,,
엄궁한의원,한의원,051-313-1354,부산 사상구 엄궁북로 23,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
드림한의원,한의원,051-305-1075,부산 사상구 사상로 289-4 정할인마트,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 15:00,정기휴무 (매주 일요일),,,
한국건강관리협회 건강증진의원,치과,051-601-9700,부산 사상구 학감대로 230 3층,,,,,,,,,,
부산보훈병원재활센터,병원부속시설,No phone number available,부산 사상구 백양대로 420 보훈병원,,,,,,,,,,
모라에덴치과의원,치과,051-304-2828,부산 사상구 모라로110번길 121,"09:30 - 17:00
12:30 - 14:00 휴게시간",,"09:30 - 17:00
12:30 - 14:00 휴게시간","09:30 - 17:00
12:30 - 14:00 휴게시간","09:30 - 17:00
12:30 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),,,
스마일치과의원,치과,051-313-3689,부산 사상구 낙동대로 782,"09:30 - 18:00
12:00 - 12:30 휴게시간",,"09:30 - 18:00
12:00 - 12:30 휴게시간","09:30 - 18:00
12:00 - 12:30 휴게시간","09:30 - 18:00
12:00 - 12:30 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
은행나무한의원,한의원,051-325-1075,부산 사상구 엄궁로203번길 40 송학빌딩,"09:30 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감",,"09:30 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:30 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:30 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:30 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
사상구보건소 선별진료소,선별진료소,051-310-4791,부산 사상구 학감대로 242,"09:00 - 17:30
12:00 - 13:00 휴게시간",,"09:00 - 17:30
12:00 - 13:00 휴게시간","09:00 - 17:30
12:00 - 13:00 휴게시간
접기","09:00 - 17:30
12:00 - 13:00 휴게시간",09:00 - 13:00,09:00 - 13:00,,,
인덕의원,"병원,의원",051-305-0355,부산 사상구 덕상로 22,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,09:00 - 18:30,09:00 - 14:00,정기휴무 (매주 일요일),,,
노송의료재단,요양병원,051-317-0081,부산 사상구 백양대로907번길 11,,,,,,,,,,
부산유펜치과의원,치과,051-322-2333,부산 사상구 대동로 94 학장반도보라타운,"10:00 - 18:30
13:00 - 14:30 휴게시간",,"10:00 - 18:30
13:00 - 14:30 휴게시간",정기휴무 (매주 목요일),"10:00 - 18:30
13:00 - 14:30 휴게시간",10:00 - 13:00,정기휴무 (매주 일요일),,,
경희배한의원,한의원,051-312-0022,부산 사상구 백양대로 884,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간
접기","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 12:30,09:30 - 12:30,,,
사상치과의원,치과,051-315-2243,부산 사상구 사상로 215 사상치과,"09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
