수,목,토(6/3),금,월,병원이름,병원주소,화,화(6/6),토,일,매일,수(6/7),월(6/5),병원종류,전화번호
"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",정희내과의원,부산 사상구 사상로 246,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-325-9955
"09:00 - 19:00
13:00 - 14:30 휴게시간",09:00 - 14:00,,"09:00 - 19:00
13:00 - 14:30 휴게시간","09:00 - 19:00
13:00 - 14:30 휴게시간",봄한의원,부산 사상구 가야대로 278-1 3층,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,한의원,051-321-1075
"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",주례용한의원,부산 사상구 가야대로282번길 1,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-327-8275
"09:00 - 18:00
12:00 - 14:00 휴게시간","09:00 - 18:00
12:00 - 14:00 휴게시간",,"09:00 - 18:00
12:00 - 14:00 휴게시간","09:00 - 18:00
12:00 - 14:00 휴게시간",허용진내과의원,부산 사상구 학감대로 120 현재빌딩,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-316-3603
"09:00 - 16:00
11:00 - 13:30 휴게시간","09:00 - 13:00
11:00 - 11:30 휴게시간",,"09:00 - 13:00
11:00 - 11:30 휴게시간","09:00 - 16:00
11:00 - 13:30 휴게시간",박경호치과의원,부산 사상구 가야대로 272-1,,현충일 휴무,09:30 - 11:00,정기휴무 (매주 일요일),,,,치과,051-322-5093
09:30 - 19:00,09:30 - 20:30,,09:30 - 19:00,09:30 - 20:30,엄궁치과의원,부산 사상구 엄궁동 99,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-311-5928
"09:30 - 19:00
13:00 - 14:00 휴게시간","정기휴무 (매주 목요일)
접기",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",청남한의원,부산 사상구 대동로 91,,현충일09:30 - 13:00,09:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-324-0363
"09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",성심마취통증의학과의원,부산 사상구 사상로 301 성심통증의원,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,마취통증의학과,051-305-0061
"09:30 - 17:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",장태섭정신건강의학과의원,부산 사상구 광장로 77,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,정신건강의학과,051-313-0795
09:00 - 18:00,"09:00 - 18:00
접기",,09:00 - 18:00,09:00 - 18:00,모라3동 마을건강센터,부산 사상구 모라로110번길 99 2층,09:00 - 18:00,,정보없음,정보없음,,,,보건소,051-310-5291
,,,,,길내과정형외과의원 원무과,부산 사상구 사상로 517,,,,,,,,정형외과,051-302-2522
"09:00 - 17:00
12:30 - 14:00 휴게시간","09:00 - 17:00
12:30 - 14:00 휴게시간",,"09:00 - 17:00
12:30 - 14:00 휴게시간","09:00 - 17:00
12:30 - 14:00 휴게시간",패밀리치과의원,"부산 사상구 가야대로282번길 1 4층,패밀리치과",,현충일 휴무,09:00 - 12:00,정기휴무 (매주 일요일),,,,치과,051-322-2879
"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",의료법인주현의료재단사상중앙병원,부산 사상구 삼덕로5번길 85,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,정신건강의학과,051-305-7001
09:30 - 18:30,"09:30 - 18:30
접기",,09:30 - 18:30,09:30 - 18:30,금비뇨기과의원,부산 사상구 백양대로 880 우신아파트,,현충일09:30 - 12:30,09:30 - 13:00,정기휴무 (매주 일요일),,,,비뇨의학과,051-315-3106
09:00 - 18:00,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,배가정의학과의원,부산 사상구 괘감로 115 광명당약국,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,가정의학과,051-323-2468
"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",김영문안과의원,부산 사상구 백양대로 884 우신모라아파트,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,안과,051-316-3049
09:00 - 17:00,"09:00 - 17:00
접기",,09:00 - 17:00,09:00 - 17:00,한국요양병원,부산 사상구 광장로 33,09:00 - 17:00,,정보없음,정보없음,,,,요양병원,051-328-8251
,,,,,권대식내과,부산 사상구 사상로 236,,,,,,,,내과,No phone number available
"08:30 - 18:00
12:30 - 14:00 휴게시간","08:30 - 18:00
12:30 - 14:00 휴게시간",,"08:30 - 18:00
12:30 - 14:00 휴게시간","08:30 - 18:00
12:30 - 14:00 휴게시간",경희새힘한의원,부산 사상구 사상로 272,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,한의원,051-714-2002
"09:30 - 17:30
12:30 - 14:00 휴게시간","09:30 - 17:30
12:30 - 14:00 휴게시간",,"09:30 - 17:30
12:30 - 14:00 휴게시간","09:30 - 17:30
12:30 - 14:00 휴게시간",덕성치과의원,"부산 사상구 대동로 137 , 3층",,현충일 휴무,09:00 - 12:00,정기휴무 (매주 일요일),,,,치과,051-324-2277
"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",강치과의원,부산 사상구 대동로 100-1 청운독서실,,현충일 휴무,09:30 - 14:00,정기휴무 (매주 일요일),,,,치과,051-326-0874
09:00 - 17:30,09:00 - 17:30,,09:00 - 17:30,09:00 - 17:30,박승원소아청소년과의원,부산 사상구 가야대로 290-8,,현충일 휴무,09:00 - 14:30,정기휴무 (매주 일요일),,,,소아청소년과,051-315-7516
09:30 - 20:30,"09:00 - 13:00
접기",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",김세일한의원,부산 사상구 낙동대로 768,,현충일09:00 - 13:00,09:00 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-315-6969
"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",미래소아청소년과의원,부산 사상구 백양대로 372-15,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,소아청소년과,051-322-7582
09:00 - 18:00,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,시티요양병원,부산 사상구 백양대로907번길 11,,현충일 휴무,09:00 - 17:00,정기휴무 (매주 일요일),,,,요양병원,051-317-0080
"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",푸른가정의학과의원,부산 사상구 운산로 31 푸른비만에스테틱,,현충일 휴무,09:30 - 12:30,정기휴무 (매주 일요일),,,,가정의학과,0507-1399-7704
"09:30 - 20:00
13:00 - 14:00 휴게시간
19:00 접수마감","09:30 - 14:00
13:00 접수마감",,"09:30 - 20:00
13:00 - 14:00 휴게시간
19:00 접수마감","09:30 - 20:00
13:00 - 14:00 휴게시간
19:00 접수마감",마이비한의원,부산 사상구 엄궁북로 26,,현충일 휴무,"09:30 - 14:00
13:00 접수마감",정기휴무 (매주 일요일),,,,한의원,051-311-5567
09:30 - 13:30,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",다정부부치과의원,부산 사상구 가야대로 278,,현충일 휴무,09:00 - 13:30,정기휴무 (매주 일요일),,,,치과,051-317-2080
"09:00 - 18:20
12:40 - 14:00 휴게시간","09:00 - 18:20
12:40 - 14:00 휴게시간",,"09:00 - 18:20
12:40 - 14:00 휴게시간","09:00 - 18:20
12:40 - 14:00 휴게시간",조안영의원,부산 사상구 학감대로49번길 34 구학마을아파트상가 2층,,현충일 휴무,09:00 - 12:40,정기휴무 (매주 일요일),,,,가정의학과,051-323-1434
09:00 - 18:00,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,전봉균내과의원,부산 사상구 대동로 100-1 2층 전봉균내과,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-324-3882
"09:30 - 18:00
12:00 - 14:00 휴게시간","09:30 - 18:00
12:00 - 14:00 휴게시간",,"09:30 - 18:00
12:00 - 14:00 휴게시간","09:30 - 18:00
12:00 - 14:00 휴게시간",박성진치과의원,부산 사상구 백양대로 921,,현충일 휴무,09:30 - 12:00,정기휴무 (매주 일요일),,,,치과,051-327-2804
"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",효성정형외과의원,부산 사상구 백양대로 945,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,정형외과,051-323-0066
"09:30 - 17:30
17:15 접수마감","09:30 - 17:30
17:15 접수마감",,"09:30 - 17:30
17:15 접수마감","09:30 - 17:30
17:15 접수마감",정승진내과의원,부산 사상구 새벽로 167,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,내과,051-311-7575
"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",태웅한의원,부산 사상구 백양대로342번길 22 LG신주례아파트 상가 2층,,현충일 휴무,09:30 - 14:00,정기휴무 (매주 일요일),,,,한의원,051-311-3225
09:00 - 18:00,"09:00 - 18:00
접기",,09:00 - 18:00,09:00 - 18:00,의료법인현백의료재단 사상제일요양병원,부산 사상구 사상로 280 사상제일요양병원,09:00 - 18:00,,정보없음,정보없음,,,,요양병원,051-301-0011
09:00 - 17:30,09:00 - 17:30,,09:00 - 17:30,09:00 - 17:30,의료법인지석의료재단효성프라임요양병원,부산 사상구 백양대로 764,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,요양병원,051-304-1002
"09:00 - 17:30
12:30 - 14:00 휴게시간","09:00 - 17:30
12:30 - 14:00 휴게시간",,"09:00 - 17:30
12:30 - 14:00 휴게시간","09:00 - 17:30
12:30 - 14:00 휴게시간",이승재의원,부산 사상구 모라로110번길 85 모라영구임대아파트,,현충일 휴무,09:00 - 12:30,정기휴무 (매주 일요일),,,,외과,051-305-7582
"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",해밀한의원,부산 사상구 모라로 22 부산벤처타워 지하 1층,,현충일 휴무,"09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,,한의원,051-609-9511
10:00 - 20:30,10:00 - 18:30,,10:00 - 18:30,10:00 - 18:30,에이스부부치과의원,부산 사상구 사상로 218,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,051-315-1500
"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",현당한의원,부산 사상구 사상로 241,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-326-6888
09:00 - 18:00,"09:00 - 18:00
접기",,09:00 - 18:00,09:00 - 18:00,의료법인 서원의료재단 감로수요양병원,부산 사상구 덕상로 116-38,09:00 - 18:00,,정보없음,정보없음,,,,요양병원,051-315-0030
09:30 - 18:00,"09:30 - 18:00
접기",,09:30 - 18:00,09:30 - 18:00,강훈산부인과의원,부산 사상구 사상로 288-1,,현충일09:30 - 13:00,09:30 - 13:00,정기휴무 (매주 일요일),,,,산부인과,051-303-2015
09:00 - 18:00,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,늘행복요양병원,부산 사상구 엄궁북로 32,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,요양병원,051-328-8275
"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",이상주치과의원,부산 사상구 엄궁북로 19,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-323-3118
"09:30 - 20:00
13:00 - 14:00 휴게시간
19:00 접수마감","09:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",,"09:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:30 - 20:00
13:00 - 14:00 휴게시간
19:00 접수마감",맑은미소치과의원,부산 사상구 백양대로 945 2층,,현충일 휴무,"09:30 - 13:00
12:00 접수마감",정기휴무 (매주 일요일),,,,치과,051-316-2879
"09:00 - 18:00
11:30 - 13:00 휴게시간
17:30 접수마감","09:00 - 18:00
11:30 - 13:00 휴게시간
17:30 접수마감",,"09:00 - 18:00
11:30 - 13:00 휴게시간
17:30 접수마감","09:00 - 18:00
11:30 - 13:00 휴게시간
17:30 접수마감",동서스포츠클리닉센터,부산 사상구 주례로 47 산학협력관 3층,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,재활의학과,0507-1366-2684
09:00 - 18:00,"09:00 - 18:00
접기",,09:00 - 18:00,09:00 - 18:00,모라1동 마을건강센터,부산 사상구 사상로 483 모라1동 마을건강센터,09:00 - 18:00,,정보없음,정보없음,,,,보건소,051-310-5248
,,,,,보훈공단 부산보훈병원 응급실,부산 사상구 백양대로 420,,,,,,,,병원부속시설,051-601-6180
"09:00 - 19:00
13:00 - 14:00 휴게시간
18:40 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:40 접수마감
접기",,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:40 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:40 접수마감",신모라대추나무한의원,부산 사상구 백양대로 888 2층,,현충일09:00 - 13:00,"09:00 - 13:00
12:40 접수마감",정기휴무 (매주 일요일),,,,한의원,051-314-8275
09:30 - 18:00,09:30 - 18:00,,09:30 - 18:00,09:30 - 18:00,김덕근내과의원,부산 사상구 사상로 271,,현충일 휴무,09:30 - 14:00,정기휴무 (매주 일요일),,,,내과,051-305-0550
"09:30 - 18:30
12:30 - 14:30 휴게시간","09:30 - 18:30
12:30 - 14:30 휴게시간
접기",,"09:30 - 18:30
12:30 - 14:30 휴게시간","09:30 - 18:30
12:30 - 14:30 휴게시간",이명학치과의원,부산 사상구 백양대로 884 우신모라아파트,"09:30 - 18:30
12:30 - 14:30 휴게시간",,09:30 - 12:30,정보없음,,,,치과,051-314-2275
"09:00 - 18:00
12:00 - 14:00 휴게시간","09:00 - 18:00
12:00 - 14:00 휴게시간
접기",,"09:00 - 18:00
12:00 - 14:00 휴게시간","09:00 - 18:00
12:00 - 14:00 휴게시간",광명한의원,부산 사상구 모라로110번길 25 사상중앙한의원,,현충일09:00 - 12:00,09:00 - 12:00,정기휴무 (매주 일요일),,,,한의원,051-313-1075
09:30 - 20:30,09:30 - 17:30,,09:30 - 17:30,09:30 - 20:30,조은치과의원,부산 사상구 광장로 77,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,치과,051-313-2877
"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",부광한의원,부산 사상구 백양대로 949-6 세발유통,,현충일 휴무,09:30 - 13:30,정기휴무 (매주 일요일),,,,한의원,051-314-1075
"10:00 - 18:00
13:00 - 14:00 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간",,"10:00 - 18:00
13:00 - 14:00 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간",김정숙치과의원,부산 사상구 사상로 226 김정숙치과2층,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,051-326-9858
"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 13:00
접기",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",제일한의원,부산 사상구 가야대로 282,,현충일09:30 - 13:00,09:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-311-7577
"10:30 - 17:30
13:00 - 14:20 휴게시간","10:30 - 17:30
13:00 - 14:20 휴게시간
접기",,"10:30 - 17:30
13:00 - 14:20 휴게시간","10:30 - 17:30
13:00 - 14:20 휴게시간",신주례부부치과,부산 사상구 백양대로342번길 21 엘지신주례아파트 상가,"10:30 - 17:30
13:00 - 14:20 휴게시간",,10:30 - 13:00,정보없음,,,,치과,051-324-5877
"09:20 - 19:00
13:00 - 14:00 휴게시간","09:20 - 19:00
13:00 - 14:00 휴게시간
접기",,"09:20 - 19:00
13:00 - 14:00 휴게시간","09:20 - 19:00
13:00 - 14:00 휴게시간",자연한의원,부산 사상구 새벽로 166 4층,,현충일09:30 - 13:00,09:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-315-1075
,,,,,화인정형외과,부산 사상구 낙동대로 790 서울약국,,,,,,,,정형외과,051-323-8200
"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",하나부부치과의원,부산 사상구 가야대로 272,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-312-8275
"10:30 - 19:00
13:30 - 14:30 휴게시간","10:30 - 19:00
13:30 - 14:30 휴게시간",,"10:30 - 19:00
13:30 - 14:30 휴게시간","10:30 - 19:00
13:30 - 14:30 휴게시간",우성한의원,부산 사상구 광장로 22,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,한의원,051-717-3115
,,,,,부산보훈병원신체검사장,부산 사상구 백양대로 420,,,,,,,,병원부속시설,No phone number available
"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",송제한의원,부산 사상구 낙동대로 751 동일타워 3층,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-322-1075
"09:30 - 17:00
12:30 - 13:30 휴게시간","09:30 - 17:00
12:30 - 13:30 휴게시간",,"09:30 - 17:00
12:30 - 13:30 휴게시간","09:30 - 17:00
12:30 - 13:30 휴게시간",주례자연병원,부산 사상구 학장로 325,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,정신건강의학과,051-324-1004
"10:00 - 18:30
13:00 - 14:30 휴게시간","10:00 - 18:30
13:00 - 14:30 휴게시간",,"10:00 - 18:30
13:00 - 14:30 휴게시간","10:00 - 18:30
13:00 - 14:30 휴게시간",이그린치과의원,부산 사상구 새벽로 166 종합의료센터,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,0507-1487-2886
,,,,,몸편한한의원,부산 사상구 백양대로 893 궁전빌딩,,,,,,,,한의원,051-315-2333
"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",부영한의원,부산 사상구 낙동대로1210번길 96,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-317-7536
,,,,,부산광역시노인건강센터,부산 사상구 학감대로39번길 129,,,,,,,,노인전문병원,No phone number available
"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",이성록한의원,부산 사상구 대동로 107 명정빌딩 3층 이성록한의원,,현충일 휴무,09:30 - 14:00,정기휴무 (매주 일요일),,,,한의원,0507-1399-8575
09:00 - 18:30,"09:00 - 18:30
접기",,09:00 - 18:30,09:00 - 18:30,인화마취통증의학과의원,부산 사상구 엄궁로 91 인화소아과,09:00 - 18:30,,09:00 - 13:00,정보없음,,,,마취통증의학과,051-315-2730
,,,,,사상중앙요양병원,부산 사상구 삼덕로5번길 85 사상중앙병원,,,,,,,,요양병원,No phone number available
"09:30 - 17:30
12:00 - 14:00 휴게시간","09:30 - 15:00
12:00 - 14:00 휴게시간",,"09:30 - 17:30
12:00 - 14:00 휴게시간","09:30 - 17:30
12:00 - 14:00 휴게시간",고려한의원,부산 사상구 사상로 297 황금당,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-301-0384
"09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",바른강치과의원,부산 사상구 사상로 325 부산정형외과 2층,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-305-0114
,,,,,길정형외과,부산 사상구 사상로 517,,,,,,,,정형외과,No phone number available
"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",김황세외과의원,부산 사상구 괘감로 100-1 가나소주방,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,외과,051-325-2233
"08:30 - 17:30
13:00 - 14:00 휴게시간","08:30 - 17:30
13:00 - 14:00 휴게시간
접기",,"08:30 - 17:30
13:00 - 14:00 휴게시간","08:30 - 17:30
13:00 - 14:00 휴게시간",황성윤한의원,부산 사상구 학감대로 124,,현충일08:30 - 13:00,08:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-313-9743
09:00 - 18:00,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,박애의원,부산 사상구 사상로 289 박애가정의원,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-302-4433
09:30 - 19:00,14:00 - 20:00,,09:30 - 19:00,09:30 - 19:00,참조은한의원,부산 사상구 사상로 243-1 2층 참조은한의원,,현충일09:30 - 13:00,09:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-325-1199
,,,,,의료법인길정의료재단 길정병원,부산 사상구 학감대로39번길 120 길정병원,,,,,,,,"병원,의원",051-320-6451
"09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감",정기휴무 (매주 목요일),,"09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감",용한의원,부산 사상구 사상로 299 2층 용 한의원,,현충일 휴무,"09:30 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,,한의원,051-303-8275
"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",최가정의원,부산 사상구 모라로192번길 24 모라3단지 가동 종합상가,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,"병원,의원",051-301-5575
"10:00 - 15:00
12:40 - 14:00 휴게시간","10:00 - 18:00
12:40 - 14:00 휴게시간",,"10:00 - 18:00
12:40 - 14:00 휴게시간","10:00 - 18:00
12:40 - 14:00 휴게시간",학장치과의원,부산 사상구 학감대로 132,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,051-314-2730
09:30 - 13:30,"09:30 - 18:30
13:00 - 14:30 휴게시간",,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간",주례치과의원,부산 사상구 가야대로 278-1,,현충일 휴무,09:30 - 13:30,정기휴무 (매주 일요일),,,,치과,051-327-9799
"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",송원당한의원,부산 사상구 사상로250번길 14,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,한의원,051-311-2475
09:00 - 13:00,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",김영길한의원,부산 사상구 삼덕로46번길 103,,현충일 휴무,09:00 - 13:00,정보없음,,,,한의원,051-309-0505
09:00 - 19:00,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,아동의원,부산 사상구 학감대로49번길 34 구학마을아파트상가 1층,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,"병원,의원",051-323-2236
"10:00 - 18:30
12:30 - 14:00 휴게시간","10:00 - 18:30
12:30 - 14:00 휴게시간",,"10:00 - 18:30
12:30 - 14:00 휴게시간","10:00 - 18:30
12:30 - 14:00 휴게시간",하얀이치과의원,부산 사상구 사상로 478 모라약국,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,051-305-9667
"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",박용수치과의원,부산 사상구 백양대로 887,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,치과,051-327-3036
,,,,,한국병원,부산 사상구 광장로 33,,,,,,,,"병원,의원",No phone number available
"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",조세규치과의원,부산 사상구 새벽로 167,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,치과,051-326-2882
"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,"10:00 - 20:30
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",김상근치과의원,부산 사상구 백양대로 888 김상근치과,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,치과,051-862-9911
