병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감
가촌한의원,한의원,051-917-2175,부산 동래구 명륜로 189-2 2층,"09:30 - 18:30
13:00 - 14:00 휴게시간
18:10 접수마감",,"09:30 - 18:30
13:00 - 14:00 휴게시간
18:10 접수마감",정기휴무 (매주 목요일),"09:30 - 18:30
13:00 - 14:00 휴게시간
18:10 접수마감","09:30 - 13:00
12:40 접수마감",정기휴무 (매주 일요일),,,
동명이비인후과의원,이비인후과,051-558-3773,부산 동래구 충렬대로 91,09:30 - 18:00,,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
좋은하루치과의원,치과,051-557-2204,부산 동래구 시실로24번길 5 2층 202호,,,"09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 20:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),,,
박영호비뇨기과의원,비뇨의학과,051-552-6700,부산 동래구 중앙대로 1325,"09:00 - 18:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
속시원김내과의원,내과,0507-1362-7172,부산 동래구 명장로 48 명장1동 새마을금고 2층,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
새로이한의원,한의원,0507-1371-7571,부산 동래구 사직북로 7 2층,"09:30 - 21:00
12:30 - 14:00 휴게시간",,"09:30 - 21:00
12:30 - 14:00 휴게시간","14:00 - 21:00
접기","09:30 - 21:00
12:30 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
이종관비뇨기과의원,비뇨의학과,051-501-4333,부산 동래구 아시아드대로 225 미남메디칼센터,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",14:00 - 18:30,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
든든한의원,한의원,051-506-7525,부산 동래구 사직북로 10-1 2층,"09:00 - 20:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간",14:00 - 20:00,"09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 15:00,정기휴무 (매주 일요일),,,
사직어린이치과의원,치과,0507-1373-2879,부산 동래구 석사로 46 3층,"09:30 - 18:00
12:30 - 14:00 휴게시간
11:30, 17:00 접수마감",,"09:30 - 18:00
12:30 - 14:00 휴게시간
11:30, 17:00 접수마감","09:30 - 18:00
12:30 - 14:00 휴게시간
11:30, 17:00 접수마감","09:30 - 18:00
12:30 - 14:00 휴게시간
11:30, 17:00 접수마감","09:30 - 14:00
13:00 접수마감",정기휴무 (매주 일요일),,,
갤러리안과의원,안과,051-516-0075,부산 동래구 사직북로 6,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
안락샘내과의원,내과,051-929-3433,부산 동래구 안락로 12 3층 안락샘내과의원,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 13:00
접기","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정보없음,09:00 - 18:30,13:00 - 14:00 ,
독수리눈안과의원,안과,051-507-0775,부산 동래구 사직북로 24 가람빌딩,"09:00 - 18:30
13:00 - 14:30 휴게시간",,"09:00 - 18:30
13:00 - 14:30 휴게시간",14:30 - 18:30,"09:00 - 18:30
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
이웃사랑의원,내과,0507-1424-2989,부산 동래구 충렬사로 50,09:00 - 18:20,,09:00 - 13:00,09:00 - 18:20,09:00 - 18:20,09:00 - 13:00,정기휴무 (매주 일요일),,,
으뜸요양병원,요양병원,051-500-1500,부산 동래구 충렬대로 120 으뜸병원,08:30 - 18:00,,08:30 - 18:00,"08:30 - 18:00
접기",08:30 - 18:00,08:30 - 13:00,정보없음,,,
부산 썬비뇨기과의원,비뇨의학과,051-714-3575,부산 동래구 동래로 25,"09:30 - 19:00
12:30 - 14:00 휴게시간
18:00 접수마감",,"09:30 - 19:00
12:30 - 14:00 휴게시간
18:00 접수마감","14:00 - 19:00
18:00 접수마감","09:30 - 19:00
12:30 - 14:00 휴게시간
18:00 접수마감","09:30 - 14:00
13:00 접수마감",정기휴무 (매주 일요일),,,
대동병원 지역응급의료센터,응급실,051-550-9390,부산 동래구 충렬대로 187 대동병원,,,,,,,,,,
본메디산부인과의원,산부인과,051-525-0800,부산 동래구 충렬대로 413 승연메디컬타워 6층,09:00 - 17:00,09:00 - 17:00,09:00 - 13:00,"09:00 - 17:00
접기",09:00 - 17:00,09:00 - 13:00,정기휴무 (매주 일요일),09:00 - 17:00,,
밝은현안과의원,안과,051-531-2200,부산 동래구 명안로85번길 52 명장랜드마크,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
진정신건강의학과의원,정신건강의학과,0507-1324-5536,부산 동래구 충렬대로 239 수안메디칼센터 5층,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:30,정기휴무 (매주 일요일),,,
김백순이비인후과의원,이비인후과,051-555-2535,부산 동래구 충렬대로238번길 7 성완 세띠앙,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간",14:00 - 18:00,"09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 12:00,정기휴무 (매주 일요일),,,
서울정형외과의원,정형외과,051-552-0675,부산 동래구 충렬대로 233 서울정형외과의원빌딩,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),,,
청랑한의원,한의원,051-522-7975,부산 동래구 충렬대로 413 승연메디컬센터 2층 청랑한의원,"09:00 - 18:30
13:00 - 14:00 휴게시간
12:45, 18:15 접수마감",,"09:00 - 20:30
13:00 - 14:00 휴게시간
12:45, 20:15 접수마감","09:00 - 18:30
13:00 - 14:00 휴게시간
12:45, 18:15 접수마감","09:00 - 18:30
13:00 - 14:00 휴게시간
12:45, 18:15 접수마감","09:00 - 13:00
12:45 접수마감",정기휴무 (매주 일요일),,,
문형기소아과의원,소아청소년과,051-524-3000,부산 동래구 충렬대로 431,09:00 - 18:00,,09:00 - 13:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
밝은빛안과의원,안과,051-506-6663,부산 동래구 사직북로 25-1 늘편한메디컬 5층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간",14:00 - 18:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
다온한의원,한의원,051-503-3777,부산 동래구 사직로70번길 68 1층,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 19:00
접기","09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 15:00,정기휴무 (매주 일요일),,,
굿모닝이비인후과의원,이비인후과,051-532-5075,부산 동래구 충렬대로 415 신협메디컬센터 3층,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
동래에이스정형외과의원,정형외과,0507-1307-3375,부산 동래구 충렬대로237번길 3 2층,"09:00 - 20:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 20:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
동래성병년정형외과의원,정형외과,051-556-8575,부산 동래구 중앙대로 1325,"09:00 - 18:00
13:00 - 14:00 휴게시간",,14:00 - 18:00,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
세인요양병원,요양병원,051-501-7500,부산 동래구 여고로 5,,,,,,,,,,
사직365부부한의원,한의원,051-715-3655,부산 동래구 아시아드대로 149-1 2층 사직365부부한의원,"09:00 - 19:00
12:30 - 14:00 휴게시간",,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",09:00 - 15:00,정기휴무 (매주 일요일),,,
아시아드치과의원,치과,0507-1475-7074,부산 동래구 아시아드대로134번길 14,"10:00 - 18:30
13:00 - 14:00 휴게시간",,"10:00 - 18:30
13:00 - 14:00 휴게시간","10:00 - 18:30
13:00 - 14:00 휴게시간","10:00 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
함소아한의원 동래,한의원,0507-1336-1075,부산 동래구 충렬대로75번길 24 3층,"10:00 - 18:00
12:30 - 14:00 휴게시간
12:00, 17:30 접수마감",,"10:00 - 18:00
12:30 - 14:00 휴게시간
12:00, 17:30 접수마감","정기휴무 (매주 목요일)
접기","10:00 - 18:00
12:30 - 14:00 휴게시간
12:00, 17:30 접수마감","10:00 - 17:00
12:30 - 14:00 휴게시간
12:00, 16:30 접수마감",정기휴무 (매주 일요일),,,
해님소아청소년과의원,소아청소년과,051-914-0100,부산 동래구 우장춘로 14,"09:00 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감",,"09:00 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
대한민국정형외과병원,정형외과,0507-1433-7594,"부산 동래구 아시아드대로 239-1 월드메디컬타워 4층, 5층","08:30 - 17:30
13:00 - 14:00 휴게시간",,"08:30 - 17:30
13:00 - 14:00 휴게시간","08:30 - 17:30
13:00 - 14:00 휴게시간","08:30 - 17:30
13:00 - 14:00 휴게시간",08:30 - 14:00,정기휴무 (매주 일요일),,,
"편한,안 정신건강의학과의원",정신건강의학과,0507-1431-5426,부산 동래구 사직북로 7 7층,09:30 - 19:00,,14:00 - 20:00,09:30 - 19:00,09:30 - 19:00,09:30 - 14:00,정기휴무 (매주 일요일),,,
부산예한방병원,한방병원,051-714-0000,"부산 동래구 중앙대로 1523 SKHUBSKY 3, 4층","09:30 - 20:00
13:00 - 14:00 휴게시간",,"09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간
접기","09:30 - 20:00
13:00 - 14:00 휴게시간",09:30 - 15:30,09:30 - 16:00,,,
예일가정의학과의원,가정의학과,051-525-9888,부산 동래구 안남로 23 보림프라자,"09:00 - 18:00
12:30 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
제중한의원 부산,한의원,0507-1332-1075,부산 동래구 석사로 10-1 률영빌딩 2층,"09:30 - 19:00
13:00 - 14:00 휴게시간",,정기휴무 (매주 수요일),"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
예본치과의원,치과,051-554-5066,부산 동래구 충렬대로 132 3층 예본치과의원,09:30 - 18:30,,14:00 - 18:30,09:30 - 18:30,09:30 - 18:30,09:30 - 13:30,정기휴무 (매주 일요일),,,
동래성모병원,내과,051-559-8888,부산 동래구 충렬대로 188 명륜동 메디컬센터 7-10층,"09:00 - 18:00
12:00 - 13:00 휴게시간",,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
닥터조이치과의원,치과,0507-1486-7071,부산 동래구 충렬대로 219 4층 닥터조이치과의원,09:30 - 20:30,,09:30 - 18:30,09:30 - 20:30,09:30 - 18:30,09:30 - 14:00,정기휴무 (매주 일요일),,,
한국한의원,한의원,051-501-0025,부산 동래구 충렬대로 154,,,,,,,,,,
속편안내과의원,내과,051-532-8008,"부산 동래구 서동중심로 4 2, 3층","09:00 - 18:30
18:20 접수마감",,"09:00 - 18:30
18:20 접수마감","09:00 - 18:30
18:20 접수마감","09:00 - 18:30
18:20 접수마감","09:00 - 13:00
12:50 접수마감",정기휴무 (매주 일요일),,,
월드부산의원,비뇨의학과,0507-1338-3500,부산 동래구 충렬대로237번길 88,"09:00 - 17:00
12:00 - 14:00 휴게시간",,"09:00 - 17:00
12:00 - 14:00 휴게시간","09:00 - 17:00
12:00 - 14:00 휴게시간","09:00 - 17:00
12:00 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),,,
예쁜미소바른이치과의원,치과,051-791-2804,부산 동래구 동래로 25 이즈메디컬 4F,"10:30 - 19:00
13:00 - 14:30 휴게시간",,"10:30 - 19:00
13:00 - 14:30 휴게시간","10:30 - 19:00
13:00 - 14:30 휴게시간","10:30 - 19:00
13:00 - 14:30 휴게시간","09:00 - 16:00
13:00 - 13:30 휴게시간",정기휴무 (매주 일요일),,,
사직마취통증의학과의원,마취통증의학과,051-505-4788,부산 동래구 석사로 5 5층,"09:30 - 18:30
13:00 - 14:00 휴게시간",,09:30 - 14:00,"09:30 - 20:30
13:00 - 14:00 휴게시간
접기","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
제이공감 정신건강의학과의원,정신건강의학과,051-715-7543,부산 동래구 미남로132번길 112 경우빌딩 5층,"09:30 - 17:30
13:00 - 14:00 휴게시간",,"09:30 - 17:00
13:00 - 14:00 휴게시간","09:30 - 17:30
13:00 - 14:00 휴게시간","09:30 - 17:00
13:00 - 14:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
우리정형외과의원,정형외과,051-522-0601,부산 동래구 명안로85번길 52 명장랜드마크,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
경희이대기한의원,한의원,051-555-1075,부산 동래구 충렬대로 180-10 대이빌딩 3층,"10:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,"10:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","10:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","10:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","10:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
열린치과의원,치과,051-521-2822,부산 동래구 안남로 23 보림프라자,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),,,
봄날재활의학과의원,재활의학과,051-556-7575,"부산 동래구 온천장로 114 허브메디컬센터 4층, 5층","09:00 - 19:00
12:30 - 14:00 휴게시간",,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
제이에스 성형외과의원,성형외과,051-711-1211,부산 동래구 충렬대로 219 마노 5층 제이에스성형외과의원,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),,,
동래장편한내과의원,내과,051-556-8300,부산 동래구 온천장로 123-1,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
박성인안과의원,안과,051-552-0110,부산 동래구 금강공원로 5-1,,,,,,,,,,
김성우우화외과의원,외과,051-554-1810,부산 동래구 온천장로 1 선호빌딩 4층,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
참치과의원,치과,051-555-8828,부산 동래구 충렬대로237번길 34,,,,,,,,,,
청담바로의원,성형외과,051-996-8585,부산 동래구 동래로 25 이즈메디컬 6층,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,"10:00 - 20:00
접기",10:00 - 20:00,10:00 - 16:00,정보없음,10:00 - 20:00,,
명륜한의원 동래점,한의원,0507-1432-0141,부산 동래구 명륜로 104-1 2층,09:30 - 21:00,,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 14:00,09:30 - 14:00,,,
더노블의원,피부과,051-552-1777,부산 동래구 차밭골로 13 7층 701호,,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간",10:00 - 15:00,정기휴무 (매주 일요일),,,
하나인치과병원,치과,051-525-4446,부산 동래구 명안로85번길 42 하나인치과병원,09:30 - 20:30,,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 20:30
접기","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
온정치과의원,치과,0507-1397-7528,부산 동래구 충렬대로 415 4층,"09:30 - 18:30
13:00 - 14:30 휴게시간",,"09:30 - 20:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),,,
김기룡내과의원,내과,051-552-7727,부산 동래구 충렬대로 248,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 12:30,정보없음,09:00 - 18:00,,
서울청담성형외과의원,성형외과,1599-7533,부산 동래구 아시아드대로 239-1 월드메디컬타워 6층,,,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 16:00,정기휴무 (매주 일요일),,,
최춘한내과의원,내과,051-501-2900,부산 동래구 아시아드대로 184,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 13:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 13:00
13:00 - 14:00 휴게시간",정보없음,,,
오대성소아청소년과의원,소아청소년과,051-502-6846,부산 동래구 여고로113번길 74,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
동래봉생병원 응급실,응급실,051-520-5600,부산 동래구 안연로109번길 27 봉생병원,,,,,,,,,,
정상한의원,한의원,051-553-3116,부산 동래구 금강공원로 24 1층 정상한의원,"09:00 - 20:00
13:00 - 14:00 휴게시간",,"09:00 - 20:00
13:00 - 14:00 휴게시간","09:00 - 20:00
13:00 - 14:00 휴게시간
접기","09:00 - 20:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
사람인치과의원,치과,051-503-5335,부산 동래구 아시아드대로 186,"10:00 - 18:00
13:00 - 14:00 휴게시간",,정기휴무 (매주 수요일),"10:00 - 18:00
13:00 - 14:00 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간",10:00 - 17:00,정기휴무 (매주 일요일),,,
더사랑의원,"병원,의원",051-507-8575,부산 동래구 아시아드대로 239,,,,,,,,,,
미주치과병원,치과,0507-1373-5124,부산 동래구 충렬대로 114 듀오빌,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간
접기","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,09:00 - 13:00,,,
화이트치과의원,치과,051-531-2202,부산 동래구 충렬대로 467,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,"09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
미라인여성의원,피부과,051-817-7755,부산 동래구 충렬대로 194 동림빌딩,10:00 - 21:00,,10:00 - 19:00,10:00 - 21:00,10:00 - 19:00,10:00 - 14:00,정기휴무 (매주 일요일),,,
온누리마취통증의학과의원,마취통증의학과,051-714-1831,부산 동래구 동래로 25 이즈메디컬빌딩 7층,"09:30 - 19:00
13:00 - 14:30 휴게시간",,14:30 - 19:00,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
강남비뇨기과의원,비뇨의학과,051-556-0386,부산 동래구 금강공원로 20,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
김민철정신건강의학과의원,정신건강의학과,0507-1337-3977,부산 동래구 명륜로 106 혜준빌딩 5층,"09:00 - 18:30
12:30 - 14:00 휴게시간",,09:00 - 14:00,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
훈내과의원,내과,051-527-3700,부산 동래구 충렬대로 467,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:50 접수마감",,"09:00 - 13:00
12:50 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:50 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:50 접수마감","09:00 - 14:00
13:50 접수마감",정기휴무 (매주 일요일),,,
더아름다운한의원,한의원,0507-1311-5836,부산 동래구 충렬대로 256 2층,09:30 - 19:00,,09:30 - 14:00,09:30 - 19:00,09:30 - 19:00,09:30 - 14:00,정기휴무 (매주 일요일),,,
미남동의요양병원,요양병원,051-507-7714,부산 동래구 아시아드대로 239-1 혜림빌딩,09:00 - 17:30,,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 13:00,정기휴무 (매주 일요일),,,
지성한의원,한의원,051-503-9947,부산 동래구 미남로132번길 17 희산빌딩,"09:00 - 17:00
12:00 - 13:30 휴게시간","09:00 - 17:00
12:00 - 13:30 휴게시간","09:00 - 17:00
12:00 - 13:30 휴게시간","정기휴무 (매주 목요일)
접기","09:00 - 17:00
12:00 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),09:00 - 17:00,12:00 - 13:30 ,
동래미래로여성의원,산부인과,051-556-1331,부산 동래구 충렬대로155번길 19 3층 301호 (속편한내과 건물 3층),"09:00 - 17:30
13:00 - 14:00 휴게시간",,"09:00 - 17:30
13:00 - 14:00 휴게시간","09:00 - 17:30
13:00 - 14:00 휴게시간","09:00 - 17:30
13:00 - 14:00 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),,,
의료법인윤재의료재단금강요양병원,요양병원,051-555-5850,부산 동래구 금강공원로 32 금강요양병원,"09:00 - 18:00
12:00 - 13:00 휴게시간",,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),,,
배지호신경과의원,신경과,0507-1445-3114,부산 동래구 중앙대로 1325,"09:00 - 18:00
12:30 - 14:00 휴게시간",,09:00 - 12:30,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),,,
보람신경외과의원,정형외과,0507-1349-8277,부산 동래구 충렬대로459번길 1 보람신경외과의원,"09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
건강한재활의학과의원,재활의학과,051-554-0075,부산 동래구 온천장로 123-1,"09:00 - 18:30
12:30 - 14:00 휴게시간",,14:00 - 19:30,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
동래 보스톤치과의원,치과,0507-1423-2881,부산 동래구 충렬대로 251 3층 부산동래보스톤치과,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 21:00
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
명제한의원,한의원,051-503-7272,부산 동래구 충렬대로108번길 16 명제한의원,"09:10 - 18:30
13:00 - 14:30 휴게시간",,"09:10 - 18:30
13:00 - 14:30 휴게시간","정기휴무 (매주 목요일)
접기","09:10 - 18:30
13:00 - 14:30 휴게시간",09:10 - 15:30,정기휴무 (매주 일요일),,,
조석태마취통증의학과의원,마취통증의학과,051-553-9777,부산 동래구 충렬대로107번길 106,"08:40 - 18:00
12:30 - 13:30 휴게시간
17:45 접수마감",,정기휴무 (매주 수요일),"08:40 - 18:00
12:30 - 13:30 휴게시간
17:45 접수마감","08:40 - 18:00
12:30 - 13:30 휴게시간
17:45 접수마감","08:40 - 15:00
14:45 접수마감","08:40 - 13:00
12:45 접수마감",,,
성산현대요양병원,요양병원,051-555-6533,부산 동래구 시실로 12,"09:00 - 17:30
12:10 - 13:10 휴게시간","09:00 - 17:30
12:10 - 13:10 휴게시간","09:00 - 17:30
12:10 - 13:10 휴게시간","09:00 - 17:30
12:10 - 13:10 휴게시간","09:00 - 17:30
12:10 - 13:10 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),09:00 - 17:30,12:10 - 13:10 ,
설대식이비인후과,이비인후과,No phone number available,부산 동래구 온천장로 5,,,,,,,,,,
