수,address,목,월,일(6/4),type,phone,목(6/8),매일,토(6/3),금,name,월(6/5),일,화(6/6),수(6/7),화,토
"09:00 - 18:00
12:30 - 14:00 휴게시간",경남 김해시 가락로 26,09:00 - 12:30,"09:00 - 18:00
12:30 - 14:00 휴게시간",,피부과,055-338-7791,,,,"09:00 - 20:00
12:30 - 14:00 휴게시간",하얀피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 14:30
"09:00 - 18:20
12:40 - 14:00 휴게시간",경남 김해시 인제로 174 포세븐 게임랜드,"09:00 - 18:20
12:40 - 14:00 휴게시간","09:00 - 18:20
12:40 - 14:00 휴게시간",,이비인후과,055-323-7582,,,,"09:00 - 18:20
12:40 - 14:00 휴게시간",예원이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:30 - 19:30
12:30 - 14:00 휴게시간
19:15 접수마감",경남 김해시 율하6로 49 솔리비오빌딩 4층,"09:30 - 19:30
12:30 - 14:00 휴게시간
19:15 접수마감","09:30 - 19:30
12:30 - 14:00 휴게시간
19:15 접수마감",,소아청소년과,055-724-2575,,,,"09:30 - 19:30
12:30 - 14:00 휴게시간
19:15 접수마감",오늘더맑음의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:30 - 14:00
13:45 접수마감"
09:00 - 13:00,부산 사상구 낙동대로 790 신우프라자,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,내과,051-321-2119,,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",명인내과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:30 - 18:30
13:00 - 14:00 휴게시간",부산 북구 만덕대로 15,14:00 - 18:30,"09:30 - 18:30
13:00 - 14:00 휴게시간",,정신건강의학과,051-361-8875,,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",김윤원정신건강의학과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 14:00
,경남 창원시 진해구 안골로 338,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,안과,055-546-2002,,,휴무,"09:00 - 18:00
13:00 - 14:00 휴게시간",용원성모안과의원,,정기휴무 (매주 일요일),현충일 휴무,휴무,,
"09:30 - 18:30
13:00 - 14:30 휴게시간
18:15 접수마감",부산 사하구 다대로 547 4층,"09:30 - 18:30
13:00 - 14:30 휴게시간
18:15 접수마감","09:30 - 18:30
13:00 - 14:30 휴게시간
18:15 접수마감",,정신건강의학과,051-263-0911,,,,"09:30 - 18:30
13:00 - 14:30 휴게시간
18:15 접수마감",김동진정신건강의학과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 13:00
12:45 접수마감"
"08:30 - 17:00
12:30 - 13:30 휴게시간",부산 사하구 다대로 315,"08:30 - 17:00
12:30 - 13:30 휴게시간","08:30 - 17:00
12:30 - 13:30 휴게시간",,"병원,의원",051-262-3344,,,,"08:30 - 17:00
12:30 - 13:30 휴게시간",장림한서병원,,정기휴무 (매주 일요일),현충일 휴무,,,08:30 - 12:30
"09:00 - 18:00
13:00 - 14:00 휴게시간",부산 사상구 가야대로 274,"09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 18:00
13:00 - 14:00 휴게시간",,소아청소년과,051-311-1114,,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",안호식소아청소년과의원,,정보없음,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00
"09:00 - 18:30
12:30 - 14:00 휴게시간",경남 창원시 진해구 신항동로 141 애플타운헤리티지 2층 205호,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,소아청소년과,055-551-6220,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",이현연합의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:00 - 17:00
12:30 - 13:30 휴게시간","부산 사하구 사하로 189 상가 201호, 301호, 401호","09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",,정형외과,0507-1397-1000,,,,"09:00 - 17:00
12:30 - 13:30 휴게시간",더탄탄병원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:30 - 18:00
13:00 - 14:00 휴게시간",부산 북구 만덕대로 14,"09:30 - 18:00
13:00 - 14:00 휴게시간
접기","09:30 - 18:00
13:00 - 14:00 휴게시간",,안과,051-334-3632,,,,"09:30 - 18:00
13:00 - 14:00 휴게시간",덕천김안과의원,,정기휴무 (매주 일요일),현충일09:30 - 11:30,,,09:30 - 12:30
09:00 - 18:30,경남 김해시 내외로 79 2층,09:00 - 18:30,09:00 - 18:30,,내과,055-326-6030,,,,09:00 - 18:30,이재홍내과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 14:00
"09:00 - 18:00
17:30 접수마감",부산 사하구 낙동남로 1412 경부빌딩 4층,"09:00 - 18:00
17:30 접수마감","09:00 - 18:00
17:30 접수마감",,안과,051-291-0015,,,,"09:00 - 18:00
17:30 접수마감",사랑가득안과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 14:00
13:30 접수마감"
"09:00 - 18:00
12:50 - 14:00 휴게시간",부산 사하구 다송로 14,"09:00 - 18:00
12:50 - 14:00 휴게시간","09:00 - 18:00
12:50 - 14:00 휴게시간",,내과,051-266-5789,,,,"09:00 - 18:00
12:50 - 14:00 휴게시간",서희내과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
09:00 - 18:30,경남 김해시 율하3로 21 율하메디칼,09:00 - 18:30,09:00 - 18:30,,내과,055-321-7696,,,,09:00 - 18:30,율하김내과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
09:00 - 13:00,부산 사하구 다대낙조2길 100 상가동 309호,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,가정의학과,051-265-8122,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",강기영가정의학과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:30 - 18:00
12:45 - 14:00 휴게시간",부산 사상구 광장로 77,"09:30 - 18:00
12:45 - 14:00 휴게시간","09:30 - 18:00
12:45 - 14:00 휴게시간",,비뇨의학과,051-317-7582,,,,"09:30 - 18:00
12:45 - 14:00 휴게시간",필업비뇨기과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 12:30
"09:30 - 19:00
13:00 - 14:00 휴게시간",경남 김해시 내외중앙로 59 내동 햄튼타워 6층 601호,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",,성형외과,055-326-4321,,,,14:00 - 21:00,삼성노블의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 15:00
"09:00 - 18:00
13:00 - 14:00 휴게시간",부산 사하구 낙동대로 448 5층,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,안과,051-791-0075,,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",하단성모안과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:30 - 19:00
13:00 - 14:30 휴게시간","경남 김해시 능동로 161 제일프라자 5,7층","09:30 - 20:30
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",,치과,055-312-9100,,,,"09:30 - 19:00
13:00 - 14:30 휴게시간",연세힐라치과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 14:00
"09:00 - 18:00
13:00 - 14:00 휴게시간",경남 창원시 진해구 안골로 336 형제빌딩,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,이비인후과,055-552-8600,,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",우리이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:00 - 18:30
13:00 - 14:00 휴게시간",경남 김해시 함박로101번길 6 임호빌딩,"09:00 - 18:30
13:00 - 14:00 휴게시간
접기","09:00 - 18:30
13:00 - 14:00 휴게시간",,내과,0507-1304-0449,,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",늘푸른의원,,09:00 - 14:00,현충일09:00 - 14:00,,,09:00 - 15:00
"09:00 - 17:00
12:30 - 13:30 휴게시간",부산 사상구 백양대로 420,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",,보훈병원,1800-3100,,,,"09:00 - 17:00
12:30 - 13:30 휴게시간",보훈공단 부산보훈병원,,정기휴무 (매주 일요일),현충일 휴무,,,정기휴무 (매주 토요일)
"10:00 - 20:00
13:00 - 14:00 휴게시간",경남 김해시 율하3로 53 경보프라자 2층,"10:00 - 20:00
13:00 - 14:00 휴게시간
접기","10:00 - 20:00
13:00 - 14:00 휴게시간",,한의원,055-334-0365,,,,"10:00 - 20:00
13:00 - 14:00 휴게시간",더나은365한의원 김해점,,10:00 - 15:00,현충일10:00 - 15:00,,,10:00 - 15:00
"09:00 - 18:30
13:00 - 14:30 휴게시간",경남 김해시 율하3로 53,"09:00 - 18:30
13:00 - 14:30 휴게시간","09:00 - 18:30
13:00 - 14:30 휴게시간","정기휴무 (매달 1, 3, 5번째 일요일)",소아청소년과,055-312-9000,,,,"09:00 - 18:30
13:00 - 14:30 휴게시간",서울새싹병원,,,현충일09:00 - 13:00,,,09:00 - 13:00
"09:00 - 13:00
12:00 접수마감",경남 김해시 능동로149번길 6,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",,정신건강의학과,055-325-8275,,,,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",공감정신건강의학과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 13:00
12:00 접수마감"
08:00 - 18:00,부산 사하구 낙동대로 438,08:00 - 18:00,08:00 - 18:00,,내과,051-207-1088,,,,08:00 - 18:00,장사랑내과영상의학과의원,,정기휴무 (매주 일요일),현충일 휴무,,,08:00 - 14:00
09:00 - 18:00,경남 김해시 번화1로79번길 2 2층,09:00 - 18:00,09:00 - 18:00,,내과,055-313-0095,,,,09:00 - 18:00,늘푸른내과의원,,09:00 - 18:00,현충일 휴무,,,09:00 - 13:00
"09:30 - 19:00
13:00 - 14:30 휴게시간",부산 사상구 가야대로 276 엘리트치과병원건물 3층 선샤인피부과의원,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 20:00
13:00 - 14:30 휴게시간",,피부과,0507-1495-3210,,,,"09:30 - 20:00
13:00 - 14:30 휴게시간",선샤인피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 14:00
"10:00 - 18:00
17:30 접수마감",경남 김해시 내외중앙로 57 경남프라자,정기휴무 (매주 목요일),"10:00 - 18:00
17:30 접수마감",,피부과,055-338-7510,,,,"10:00 - 18:00
17:30 접수마감",고운나라피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"10:00 - 16:00
15:30 접수마감"
"09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",부산 사상구 가야대로 272,"09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,피부과,0507-1492-5445,,,,"09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",박만규피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:10 - 13:00
12:30 접수마감"
"09:30 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감","부산 사하구 사하로 189 307,308호","14:00 - 20:00
19:30 접수마감","09:30 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감",,치과,051-204-2801,,,,"09:30 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감",괴정아트치과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:30 - 13:00
12:30 접수마감"
"09:00 - 18:30
12:30 - 14:00 휴게시간",부산 사상구 엄궁북로 22,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,이비인후과,051-325-5075,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",가본이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
정기휴무 (매주 수요일),경남 창원시 진해구 용원로 9 엠파이어상가 4층 402호,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",,정형외과,055-552-0052,,,,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",한마음정형외과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 13:00
12:50 접수마감"
10:30 - 20:30,부산 북구 만덕대로 16 8층,10:30 - 20:30,10:30 - 20:30,,피부과,051-337-9960,,,,10:30 - 20:30,메이퓨어의원 부산덕천점,,정기휴무 (매주 일요일),현충일 휴무,,,10:00 - 17:00
"09:00 - 17:00
12:30 - 14:00 휴게시간
16:30 접수마감",경남 김해시 분성로 180 해산빌딩,"09:00 - 17:00
12:30 - 14:00 휴게시간
16:30 접수마감","09:00 - 17:00
12:30 - 14:00 휴게시간
16:30 접수마감",,외과,0507-1428-0025,,,,"09:00 - 19:30
12:30 - 14:00 휴게시간
19:00 접수마감",굿모닝대홍병원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 12:30
12:00 접수마감"
14:00 - 19:30,경남 김해시 율하3로 38 경보오션 6층,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",,피부과,055-723-3070,,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",율하수안피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 13:30
"09:30 - 13:00
12:00 접수마감",부산 사하구 다대로 550 해랑빌딩 2층,"09:30 - 19:00
13:00 - 14:00 휴게시간
18:00 접수마감","09:30 - 19:00
13:00 - 14:00 휴게시간
18:00 접수마감",,치과,051-266-8275,,,,"09:30 - 19:00
13:00 - 14:00 휴게시간
18:00 접수마감",탑치과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:30 - 14:00
13:00 접수마감"
"09:00 - 18:00
13:00 - 14:00 휴게시간",부산 북구 만덕대로 5,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,안과,051-331-7575,,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",수정안과의원,,정기휴무 (매주 일요일),현충일09:00 - 13:00,,,09:00 - 16:00
"09:00 - 19:00
13:00 - 14:00 휴게시간",경남 김해시 능동로 159,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",,이비인후과,055-312-7731,,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",윤이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 16:00
"09:00 - 18:30
12:30 - 14:00 휴게시간",부산 사상구 가야대로 276 M-square 메디컬센터 5층 501호 (주례동),"09:00 - 18:30
12:30 - 14:00 휴게시간
접기","09:00 - 18:30
12:30 - 14:00 휴게시간",,이비인후과,051-710-7655,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",부산탑이비인후과의원,,정기휴무 (매주 일요일),현충일09:00 - 13:00,,,09:00 - 13:00
09:00 - 13:00,부산 사하구 하신번영로 199 3층,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,이비인후과,051-201-5656,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",생각나는이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:00 - 18:00
12:30 - 13:30 휴게시간",경남 김해시 활천로 229 한빛메디칼센터,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",,정형외과,055-327-7525,,,,"09:00 - 18:00
12:30 - 13:30 휴게시간",새한빛정형외과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 12:00
"10:00 - 21:00
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간","경남 김해시 번화1로44번길 6 엠아이병원 신관 4층, 5층(대청동 다이소 뒤편)","10:00 - 21:00
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간","10:00 - 21:00
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간",,치과,055-311-2879,,,,"10:00 - 21:00
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간",365엠아이치과의원,,"10:00 - 17:00
13:00 - 14:00 휴게시간","현충일10:00 - 17:00
13:00 - 14:00 휴게시간",,,"10:00 - 17:00
13:00 - 14:00 휴게시간"
"09:00 - 18:30
12:30 - 14:00 휴게시간",부산 사상구 덕상로 14 대원빌딩,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,가정의학과,051-304-7584,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",참사랑의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감",부산 사하구 다대로 263 5층 501호,"09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감","09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감",,피부과,051-262-7511,,,,"09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감",한국한센복지협회 부산지부 부설 복지의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 13:00
12:30 접수마감"
"09:30 - 17:00
12:30 - 14:00 휴게시간",경남 김해시 율하3로 5 정한의원,14:00 - 20:00,,휴무,한의원,055-311-0001,,,휴무,"09:30 - 17:00
12:30 - 14:00 휴게시간",정한의원,휴무,,휴무,,,
"09:30 - 18:15
13:00 - 14:30 휴게시간
18:10 접수마감",부산 사하구 낙동대로 448 3층,"09:30 - 18:15
13:00 - 14:30 휴게시간
18:10 접수마감","09:30 - 18:15
13:00 - 14:30 휴게시간
18:10 접수마감",,이비인후과,051-202-3447,,,,"09:30 - 18:15
13:00 - 14:30 휴게시간
18:10 접수마감",시원한이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:30 - 13:00
12:55 접수마감"
"09:30 - 18:00
13:00 - 14:30 휴게시간",경남 김해시 능동로 157 거북빌딩 4층,"09:30 - 18:00
13:00 - 14:30 휴게시간","09:30 - 18:00
13:00 - 14:30 휴게시간",,치과,055-314-1275,,,,"09:30 - 18:00
13:00 - 14:30 휴게시간",장유어린이치과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 13:00
"09:00 - 19:00
12:30 - 14:00 휴게시간",경남 김해시 율하6로 56 메이저타워 3층,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",,소아청소년과,055-325-5050,,,,"09:00 - 19:00
12:30 - 14:00 휴게시간",율하봄소아청소년과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 14:00
정기휴무 (매주 수요일),경남 김해시 인제로 159 2층,10:00 - 16:00,10:00 - 16:00,,산부인과,055-325-6789,,,,10:00 - 16:00,중앙자모산부인과의원,,정기휴무 (매주 일요일),현충일 휴무,,,정기휴무 (매주 토요일)
"09:30 - 17:30
12:50 - 14:00 휴게시간",부산 북구 만덕대로 22 드림메디칼빌딩 6층,14:00 - 17:30,"09:30 - 17:30
12:50 - 14:00 휴게시간",,피부과,0507-1412-1236,,,,"09:30 - 17:30
12:50 - 14:00 휴게시간",덕천필피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 12:30
09:00 - 12:30,경남 김해시 번화1로80번길 15 다성빌딩,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,피부과,0507-1423-3111,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",하나의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:30
"09:00 - 19:00
13:00 - 14:00 휴게시간
12:00 접수마감","부산 사하구 낙동남로 1427 6, 7, 8, 9층","09:00 - 19:00
13:00 - 14:00 휴게시간
12:00 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
12:00 접수마감",,한방병원,1577-0007,,,,"09:00 - 19:00
13:00 - 14:00 휴게시간
12:00 접수마감",부산자생한방병원,,정기휴무 (매주 일요일),현충일09:00 - 18:00,,,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:00 접수마감"
"09:00 - 20:30
12:30 - 14:00 휴게시간","경남 김해시 가락로 23 당당메디컬센터 5, 6, 7, 8, 9층","09:00 - 20:30
12:30 - 14:00 휴게시간","09:00 - 20:30
12:30 - 14:00 휴게시간",,한방병원,055-331-2020,,,,"09:00 - 20:30
12:30 - 14:00 휴게시간",당당한방병원 김해,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 15:00
09:30 - 19:00,부산 사하구 낙동대로 213,09:30 - 19:00,09:30 - 19:00,,피부과,051-204-7870,,,,09:30 - 19:00,배주한피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 13:00
"09:00 - 18:30
13:00 - 14:00 휴게시간",부산 사하구 낙동대로 162 2층,"09:00 - 18:30
13:00 - 14:00 휴게시간
접기","09:00 - 18:30
13:00 - 14:00 휴게시간",,내과,051-207-9862,,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",지상근내과의원,,정기휴무 (매주 일요일),,,"09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 14:00
"09:30 - 12:30
12:20 접수마감",경남 김해시 능동로167번길 1,"09:30 - 19:30
12:30 - 14:00 휴게시간
19:20 접수마감","09:30 - 19:30
12:30 - 14:00 휴게시간
19:20 접수마감",,피부과,055-339-9100,,,,"09:30 - 18:00
12:30 - 14:00 휴게시간
17:50 접수마감",더맑은피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 13:00
12:50 접수마감"
"09:00 - 19:30
13:00 - 14:00 휴게시간",부산 사하구 낙동대로 361,"09:00 - 19:30
13:00 - 14:00 휴게시간
접기","09:00 - 19:30
13:00 - 14:00 휴게시간",,산부인과,051-206-0999,,,,"09:00 - 19:30
13:00 - 14:00 휴게시간",에디스여성병원,,09:00 - 13:00,현충일09:00 - 13:00,,,09:00 - 15:00
"09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",부산 사상구 광장로 77 4층,"09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",,산부인과,051-311-1331,,,,"09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",새봄산부인과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:30 - 15:30
13:00 - 14:00 휴게시간
15:20 접수마감"
09:00 - 18:00,경남 김해시 번화1로80번길 5,"09:00 - 18:00
접기",09:00 - 18:00,,소아청소년과,055-314-7007,,,,09:00 - 18:00,서울소아청소년과의원,,정보없음,,,09:00 - 18:00,09:00 - 12:30
"09:00 - 19:00
13:00 - 14:00 휴게시간",부산 사하구 낙동대로 234 조일빌딩,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",,산부인과,051-291-7777,,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",뉴본여성의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 15:00
"09:00 - 18:00
13:00 - 14:00 휴게시간
12:50, 17:50 접수마감","부산 사하구 하신번영로 183 2,3,5,6층","09:00 - 18:00
13:00 - 14:00 휴게시간
12:50, 17:50 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
12:50, 17:50 접수마감",,정형외과,051-293-7582,,,,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:50, 17:50 접수마감",새힘정형외과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 13:00
12:50 접수마감"
"14:30 - 20:00
19:30 접수마감",경남 김해시 인제로 182 2층 202호,"09:40 - 13:00
12:30 접수마감","09:40 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감",,치과,0507-1321-5387,,,,"09:40 - 20:00
13:00 - 14:30 휴게시간
19:30 접수마감",굿보스톤치과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:40 - 13:30
13:00 접수마감"
"09:30 - 19:00
12:30 - 14:00 휴게시간",경남 김해시 율하3로 49 유성프라자 401호,"09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",,치과,0507-1434-2877,,,,"09:30 - 19:00
12:30 - 14:00 휴게시간",율하부부치과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:00 - 18:00
12:00 - 13:00 휴게시간",경남 김해시 능동로 149,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",,보건소,1577-9400,,,,"09:00 - 18:00
12:00 - 13:00 휴게시간",김해시서부보건소,,정기휴무 (매주 일요일),현충일 휴무,,,정기휴무 (매주 토요일)
10:00 - 19:00,부산 사하구 낙동대로 451 금동빌딩,10:00 - 19:00,10:00 - 19:00,,성형외과,051-202-0060,,,,10:00 - 21:00,이본의원,,정기휴무 (매주 일요일),현충일 휴무,,,10:00 - 15:00
"09:00 - 18:00
13:00 - 14:00 휴게시간",부산 사상구 운산로 52,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,이비인후과,051-316-8275,,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",서정출이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:00 - 18:30
13:00 - 14:00 휴게시간",부산 사상구 대동로 107 명정빌딩 2층,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,가정의학과,051-323-7577,,,,09:00 - 13:00,킴스가정의학과의원,,"09:00 - 17:00
13:00 - 14:00 휴게시간",현충일 휴무,,,정기휴무 (매주 토요일)
"09:00 - 18:30
13:00 - 14:00 휴게시간",경남 김해시 율하로 478 201호,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,내과,055-902-0119,,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",율하바른의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 14:00
"09:00 - 18:30
13:00 - 14:00 휴게시간",경남 창원시 진해구 신항동로 141 애플타운헤리티지 210호,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,내과,055-551-1888,,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",신항내과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:30
"09:00 - 19:00
13:00 - 14:00 휴게시간",부산 사상구 사상로 200 엠시티빌딩 4층,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",,내과,051-321-1231,,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",연세윤내과의원,,09:00 - 13:00,휴무,,,09:00 - 14:00
"09:00 - 18:30
13:00 - 14:00 휴게시간",부산 사상구 대동로 98 학장반도보라타운,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,이비인후과,051-322-9937,,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",임용수이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
