이름,병원주소,병원종류,영업시간,전화번호
바른이비인후과의원,경남 김해시 율하로 478 모산메디피아 3층,이비인후과,"금
09:00 - 18:25
12:30 - 14:00 휴게시간
토
09:00 - 12:55
일
정기휴무 (매주 일요일)
월
09:00 - 18:25
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:25
12:30 - 14:00 휴게시간
목
09:00 - 18:25
12:30 - 14:00 휴게시간",055-312-0222
더조은이비인후과의원,부산 사상구 사상로 200,이비인후과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
토
09:00 - 13:00
12:50 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
목
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",051-311-7528
최안과의원,"경남 김해시 가락로 19 메디칼센터 7층, 8층 최안과의원",안과,"금
09:15 - 19:00
12:40 - 14:00 휴게시간
토
09:15 - 15:00
일
정기휴무 (매주 일요일)
월
09:15 - 18:00
12:40 - 14:00 휴게시간
화(6/6)
현충일09:15 - 13:00
수
09:15 - 18:00
12:40 - 14:00 휴게시간
목
09:15 - 18:00
12:40 - 14:00 휴게시간
접기",055-327-1900
비에스(BS)숨이비인후과의원,"부산 사하구 낙동남로 1412 경부빌딩 7층, 8층",이비인후과,"금
09:00 - 21:00
13:00 - 14:00 휴게시간
토
09:00 - 17:00
일
09:00 - 13:00
월
09:00 - 21:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 21:00
13:00 - 14:00 휴게시간
목
09:00 - 21:00
13:00 - 14:00 휴게시간
접기",1544-3898
율하메디칼정형외과의원,경남 김해시 율하3로 21 율하메디칼,정형외과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 12:30
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간",055-325-7881
하나병원,부산 사하구 다대로 311,"병원,의원","금
09:00 - 17:30
12:30 - 13:30 휴게시간
토
09:00 - 12:30
일
정기휴무 (매주 일요일)
월
09:00 - 17:30
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 17:30
12:30 - 13:30 휴게시간
목
09:00 - 17:00
12:30 - 13:30 휴게시간",051-266-2600
굿윌치과병원,부산 북구 금곡대로 28,치과,"금
09:00 - 21:00
토
09:00 - 21:00
일
09:00 - 18:00
월
09:00 - 21:00
화(6/6)
현충일09:00 - 21:00
수
09:00 - 21:00
목
09:00 - 21:00
접기",051-330-6000
백천피부과의원,부산 사하구 낙동대로 212,피부과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:30 - 14:40
일
정기휴무 (매주 일요일)
월
09:30 - 18:40
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 14:00 휴게시간
목
14:00 - 19:10",051-204-1204
율하이비인후과의원,경남 김해시 율하3로 37 경보센텀 4층 402호,이비인후과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
08:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간
접기",055-312-0302
바로그의원 덕천,부산 북구 만덕대로 24 4층,피부과,"금
10:00 - 21:00
13:00 - 14:00 휴게시간
토
10:00 - 15:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 19:00
13:00 - 14:00 휴게시간
목
10:00 - 19:00
13:00 - 14:00 휴게시간",051-343-2255
율하엘의원,경남 김해시 율하1로 110 중앙프라자 601호,피부과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 14:00 휴게시간
목
09:30 - 18:30",0507-1417-6114
굿윌치과병원,"부산 사하구 낙동남로 1412 경부빌딩 2F, 3F, 5F",치과,"금
09:00 - 21:00
토
09:00 - 21:00
일
09:00 - 18:00
월
09:00 - 21:00
화(6/6)
현충일09:00 - 21:00
수
09:00 - 21:00
목
09:00 - 21:00
접기",0507-1440-6000
박성욱피부과의원,부산 사하구 낙동남로 1424 하단역 8번출구 동원빌딩 6층,피부과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:30 - 13:30
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
12:30 - 14:00 휴게시간
목
09:30 - 13:30",051-204-8275
유&김내과의원,경남 김해시 인제로 168,내과,"금
09:00 - 18:00
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
화(6/6)
현충일 휴무
수
09:00 - 18:00
목
09:00 - 18:00",0507-1340-7589
강동병원,부산 사하구 다대로 145,정형외과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
09:00 - 22:00
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 22:00
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간
접기",051-209-1100
한빛내과의원,경남 김해시 인제로 190 선교메디칼빌딩 3층,내과,"금
08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
토
08:30 - 13:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
화
08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
수
08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
목
08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
접기",055-323-1586
누가병원,경남 김해시 대청로104번길 80-1,종합병원,"금
09:00 - 18:00
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 13:30 휴게시간
목
09:00 - 18:00
12:30 - 13:30 휴게시간",055-330-4000
재원메디컬의원,부산 사상구 사상로 236,"병원,의원","금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
08:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 13:00",051-305-7588
사하구보건소,부산 사하구 하신중앙로 185 사하구 제2청사,보건소,"금
09:00 - 18:00
12:00 - 13:00 휴게시간
토
정보없음
일
정보없음
월
09:00 - 18:00
12:00 - 13:00 휴게시간
화
09:00 - 18:00
12:00 - 13:00 휴게시간
수
09:00 - 18:00
12:00 - 13:00 휴게시간
목
09:00 - 18:00
12:00 - 13:00 휴게시간
접기",051-220-5701
황정하이비인후과의원,경남 김해시 월산로 1 농협,이비인후과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간",055-314-7585
수사랑의원,경남 김해시 김해대로 2078 홈플러스,내과,"금
10:00 - 20:00
12:30 - 14:00 휴게시간
토
10:00 - 20:00
12:30 - 14:00 휴게시간
일
10:00 - 18:00
12:30 - 14:00 휴게시간
월
10:00 - 20:00
12:30 - 14:00 휴게시간
화
10:00 - 20:00
12:30 - 14:00 휴게시간
수
10:00 - 20:00
12:30 - 14:00 휴게시간
목
10:00 - 20:00
12:30 - 14:00 휴게시간",0507-1496-8088
참사랑의원,경남 김해시 분성로 14-4 일동한신아파트 주상가 204호,"병원,의원","금
09:30 - 19:00
12:30 - 14:00 휴게시간
토
09:30 - 17:00
12:30 - 14:00 휴게시간
일
09:30 - 17:00
12:30 - 14:00 휴게시간
월
09:30 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일09:30 - 17:00
12:30 - 14:00 휴게시간
수
09:30 - 20:30
12:30 - 14:00 휴게시간
목
09:30 - 19:00
12:30 - 14:00 휴게시간
접기",0507-1430-0340
김해센텀병원,경남 김해시 구지로 56 김해센텀병원,"병원,의원","금
09:00 - 18:00
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 13:30 휴게시간
목
09:00 - 18:00
12:30 - 13:30 휴게시간",055-330-9100
고운정형외과의원,경남 김해시 번화1로80번길 15 다성빌딩 5층,정형외과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
17:50 접수마감
토
09:00 - 13:00
12:20 접수마감
일
정기휴무 (매주 일요일)
월(6/5)
휴무
화(6/6)
현충일 휴무
수
09:00 - 18:30
12:30 - 14:00 휴게시간
17:50 접수마감
목
09:00 - 20:00
12:30 - 14:00 휴게시간
19:20 접수마감",055-333-0088
백문기한의원,부산 사상구 광장로87번길 63,한의원,"금
10:00 - 18:00
12:50 - 14:00 휴게시간
토
10:00 - 17:00
12:50 - 14:00 휴게시간
일
정기휴무 (매주 일요일)
월
10:00 - 18:00
12:50 - 14:00 휴게시간
화(6/6)
현충일10:00 - 17:00
12:50 - 14:00 휴게시간
수
10:00 - 18:00
12:50 - 14:00 휴게시간
목
정기휴무 (매주 목요일)
접기",051-312-7648
바로그의원 하단,부산 사하구 낙동남로 1412 경부빌딩 9층,피부과,"금
10:00 - 21:00
13:00 - 14:00 휴게시간
19:30 접수마감
토
10:00 - 14:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
13:00 - 14:00 휴게시간
17:30 접수마감
화(6/6)
현충일 휴무
수
10:00 - 19:00
13:00 - 14:00 휴게시간
17:30 접수마감
목
10:00 - 19:00
13:00 - 14:00 휴게시간
17:30 접수마감",051-202-8272
한사랑가정의원,부산 사상구 엄궁북로 24 한사랑가정의원,소아청소년과,"금
09:00 - 18:30
토
09:00 - 13:30
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
화(6/6)
현충일 휴무
수
09:00 - 18:30
목
09:00 - 18:30",051-317-9234
사상구보건소,부산 사상구 학감대로 242,보건소,"금
09:00 - 18:00
12:00 - 13:00 휴게시간
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:00 - 13:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:00 - 13:00 휴게시간
목
09:00 - 18:00
12:00 - 13:00 휴게시간",051-310-4791
삼성본정형외과의원,부산 사상구 가야대로 276 M-suare 메디컬센터 8층,정형외과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화
09:00 - 18:30
12:30 - 14:00 휴게시간
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간",051-711-0280
부산더키즈병원,"부산 사하구 다대로 234 5, 6, 8, 9층",소아청소년과,"금
09:00 - 19:00
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
09:00 - 13:00
월
09:00 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 19:00
12:30 - 14:00 휴게시간
목
09:00 - 19:00
12:30 - 14:00 휴게시간",0507-1454-6003
센텀코어더율의원,경남 김해시 율하6로 56 율하메이저타워 6층 센텀코어더율의원,피부과,"금
10:00 - 19:30
12:30 - 14:00 휴게시간
토
10:00 - 16:00
12:30 - 14:00 휴게시간
일
정기휴무 (매주 일요일)
월
10:00 - 19:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 19:30
12:30 - 14:00 휴게시간
목
14:30 - 20:00",055-724-2449
프라임병원,부산 사하구 낙동남로 1410,"병원,의원","금
09:00 - 18:00
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화
09:00 - 18:00
12:30 - 13:30 휴게시간
수
09:00 - 18:00
12:30 - 13:30 휴게시간
목
09:00 - 18:00
12:30 - 13:30 휴게시간",0507-1429-7833
큰나무정형외과의원,경남 김해시 능동로 161 제일프라자,정형외과,"금
09:00 - 19:00
12:30 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 13:00
목
09:00 - 19:00
12:30 - 14:00 휴게시간",055-313-3875
the속시원내과의원,부산 사하구 다대로 550 5층,내과,,051-265-2468
더큰병원 김해,경남 김해시 분성로 208 김해 the큰병원,신경외과,"금
09:00 - 17:30
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 17:30
12:30 - 13:30 휴게시간
화
09:00 - 17:30
12:30 - 13:30 휴게시간
수
09:00 - 17:30
12:30 - 13:30 휴게시간
목
09:00 - 17:30
12:30 - 13:30 휴게시간
접기",0507-1468-0926
코아이비인후과의원,경남 김해시 장유로 232 코아상가,이비인후과,"금
09:00 - 19:00
12:30 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
12:30 - 14:00 휴게시간
목
09:00 - 19:00
12:30 - 14:00 휴게시간",055-314-7599
세명병원,경남 창원시 진해구 용원서로 42 세명병원,"병원,의원","금
09:00 - 18:00
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화
09:00 - 18:00
12:30 - 14:00 휴게시간
수
09:00 - 18:00
12:30 - 14:00 휴게시간
목
09:00 - 18:00
12:30 - 14:00 휴게시간",055-540-7500
성모이비인후과의원,부산 사상구 낙동대로 786,이비인후과,"금
09:00 - 18:00
12:30 - 14:00 휴게시간
토
09:00 - 12:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 14:00 휴게시간
목
09:00 - 18:00
12:30 - 14:00 휴게시간",051-316-1117
사랑해소아청소년과연합의원,경남 김해시 율하1로 110 중앙프라자,소아청소년과,"금
09:00 - 20:30
13:00 - 14:30 휴게시간
토
09:00 - 14:00
일
09:00 - 13:00
월
09:00 - 20:30
13:00 - 14:30 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 20:30
13:00 - 14:30 휴게시간
목
09:00 - 20:30
13:00 - 14:30 휴게시간",055-323-3360
굿모닝안과의원,경남 김해시 장유로 230 프리마빌딩,안과,"금
09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감
토
09:10 - 13:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감
화(6/6)
현충일 휴무
수
09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감
목
09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",0507-1458-0391
킴스뷰티의원,부산 사하구 낙동남로 1426,피부과,"금
10:00 - 19:00
14:00 - 15:00 휴게시간
토
10:00 - 16:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
14:00 - 15:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 19:00
14:00 - 15:00 휴게시간
목
10:00 - 22:00
14:00 - 15:00 휴게시간",051-205-9777
아름다운피부과의원,부산 사하구 낙동대로 466,피부과,"금
10:00 - 19:30
12:30 - 14:00 휴게시간
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 14:00 휴게시간
목
09:30 - 18:30
12:30 - 14:00 휴게시간",051-204-8114
경희병원,부산 사하구 다대로 321,"병원,의원","금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-265-7575
바른정형외과의원,경남 김해시 율하1로 106 네오프라자빌딩 6층,정형외과,"금
09:00 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감
토
09:00 - 13:30
13:00 접수마감
일
정기휴무 (매주 일요일)
월(6/5)
휴무
화(6/6)
휴무
수(6/7)
휴무
목
09:00 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감",0507-1316-9399
김인기내과의원,경남 김해시 계동로23번길 3-19,내과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간",055-314-3651
김해굿모닝병원,경남 김해시 분성로 444 굿모닝빌딩,"병원,의원",,055-335-0300
뮤즈의원 김해,경남 김해시 내외중앙로 92 5층 뮤즈의원 김해,피부과,"금
10:00 - 20:00
토
10:00 - 16:00
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
화(6/6)
10:00 - 16:00
수
10:00 - 20:00
목
10:00 - 20:00
접기",1522-4340
김은영내과의원,부산 사하구 낙동남로 1389 이든 빌딩 6층 - 진료실,내과,"금
08:30 - 18:30
12:30 - 14:00 휴게시간
토
08:30 - 14:00
일
정기휴무 (매주 일요일)
월
08:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
08:30 - 13:00
수
08:30 - 18:30
12:30 - 14:00 휴게시간
목
08:30 - 18:30
12:30 - 14:00 휴게시간
접기",051-202-7722
서울피부과의원,경남 김해시 내외중앙로 62 종로엠스쿨,피부과,"금
09:30 - 19:00
12:30 - 14:00 휴게시간
토
09:30 - 17:00
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
12:30 - 14:00 휴게시간
목
정기휴무 (매주 목요일)",055-327-0651
예인의원,부산 사상구 광장로 17 이마트,내과,"금
10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간
토
10:00 - 17:00
13:00 - 14:00 휴게시간
일
10:00 - 17:00
13:00 - 14:00 휴게시간
월
10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간
화(6/6)
현충일10:00 - 17:00
13:00 - 14:00 휴게시간
수
10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간
목
10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간
접기",051-317-7855
속시원내과의원,경남 김해시 능동로155번길 2,내과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 15:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간",055-312-9955
오이비인후과의원,경남 김해시 율하1로 106 4층,이비인후과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
08:45 - 16:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간
접기",055-323-6525
한나이비인후과의원,경남 김해시 번화1로80번길 15 다성빌딩,이비인후과,"금
09:00 - 18:40
12:30 - 14:00 휴게시간
18:30 접수마감
토
09:00 - 13:20
13:10 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:40
12:30 - 14:00 휴게시간
18:30 접수마감
화
09:00 - 18:40
12:30 - 14:00 휴게시간
18:30 접수마감
수
09:00 - 18:40
12:30 - 14:00 휴게시간
18:30 접수마감
목
09:00 - 18:40
12:30 - 14:00 휴게시간
18:30 접수마감
접기",055-314-8900
쉬즈라인의원 덕천점,부산 북구 만덕대로 22,성형외과,"금
10:00 - 20:30
13:00 - 14:00 휴게시간
토
10:00 - 16:00
13:00 - 14:00 휴게시간
일
정기휴무 (매주 일요일)
월
10:00 - 20:30
13:00 - 14:00 휴게시간
화(6/6)
현충일10:00 - 16:00
수
10:00 - 20:30
13:00 - 14:00 휴게시간
목
10:00 - 20:30
13:00 - 14:00 휴게시간
접기",051-331-8877
온맘여성한의원 부산덕천,부산 북구 백양대로 1200 정수빌딩 3층,한의원,"금
10:00 - 20:30
13:00 - 14:00 휴게시간
토
10:00 - 16:00
일
정기휴무 (매주 일요일)
월
10:00 - 20:30
13:00 - 14:00 휴게시간
화
10:00 - 18:30
13:00 - 14:00 휴게시간
수
10:00 - 20:30
13:00 - 14:00 휴게시간
목
정기휴무 (매주 목요일)",0507-1394-0333
장윤석이비인후과의원,부산 북구 백양대로 1013-1 용원상가빌,이비인후과,"금
09:00 - 19:00
12:30 - 14:00 휴게시간
토
09:00 - 14:00
12:30 - 14:00 휴게시간
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
12:30 - 14:00 휴게시간
수
14:00 - 20:00
12:30 - 14:00 휴게시간
목
09:00 - 19:00
12:30 - 14:00 휴게시간",051-341-9525
부산내과의원,부산 사하구 낙동대로 449,내과,"금
08:50 - 18:20
13:00 - 14:00 휴게시간
18:00 접수마감
토
08:50 - 15:20
13:00 - 13:40 휴게시간
15:00 접수마감
일
정기휴무 (매주 일요일)
월
08:50 - 18:20
13:00 - 14:00 휴게시간
18:00 접수마감
화(6/6)
현충일08:50 - 13:00
수
08:50 - 18:20
13:00 - 14:00 휴게시간
18:00 접수마감
목
08:50 - 18:20
13:00 - 14:00 휴게시간
18:00 접수마감",051-291-9550
좋은삼선병원,부산 사상구 가야대로 326,종합병원,"금
09:00 - 17:00
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 17:00
12:30 - 13:30 휴게시간
목
09:00 - 17:00
12:30 - 13:30 휴게시간",051-322-0900
하얀피부과의원,경남 김해시 가락로 26,피부과,"금
09:00 - 20:00
12:30 - 14:00 휴게시간
토
09:00 - 14:30
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 14:00 휴게시간
목
09:00 - 12:30",055-338-7791
예원이비인후과의원,경남 김해시 인제로 174 포세븐 게임랜드,이비인후과,"금
09:00 - 18:20
12:40 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:20
12:40 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:20
12:40 - 14:00 휴게시간
목
09:00 - 18:20
12:40 - 14:00 휴게시간",055-323-7582
오늘더맑음의원,경남 김해시 율하6로 49 솔리비오빌딩 4층,소아청소년과,"금
09:30 - 19:30
12:30 - 14:00 휴게시간
19:15 접수마감
토
09:30 - 14:00
13:45 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 19:30
12:30 - 14:00 휴게시간
19:15 접수마감
화(6/6)
현충일 휴무
수
09:30 - 19:30
12:30 - 14:00 휴게시간
19:15 접수마감
목
09:30 - 19:30
12:30 - 14:00 휴게시간
19:15 접수마감",055-724-2575
명인내과의원,부산 사상구 낙동대로 790 신우프라자,내과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 13:00
목
09:00 - 18:30
13:00 - 14:00 휴게시간",051-321-2119
김윤원정신건강의학과의원,부산 북구 만덕대로 15,정신건강의학과,"금
09:30 - 18:30
13:00 - 14:00 휴게시간
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
13:00 - 14:00 휴게시간
목
14:00 - 18:30",051-361-8875
용원성모안과의원,경남 창원시 진해구 안골로 338,안과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토(6/3)
휴무
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수(6/7)
휴무
목
09:00 - 18:00
13:00 - 14:00 휴게시간",055-546-2002
김동진정신건강의학과의원,부산 사하구 다대로 547 4층,정신건강의학과,"금
09:30 - 18:30
13:00 - 14:30 휴게시간
18:15 접수마감
토
09:00 - 13:00
12:45 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:30 휴게시간
18:15 접수마감
화(6/6)
현충일 휴무
수
09:30 - 18:30
13:00 - 14:30 휴게시간
18:15 접수마감
목
09:30 - 18:30
13:00 - 14:30 휴게시간
18:15 접수마감",051-263-0911
장림한서병원,부산 사하구 다대로 315,"병원,의원","금
08:30 - 17:00
12:30 - 13:30 휴게시간
토
08:30 - 12:30
일
정기휴무 (매주 일요일)
월
08:30 - 17:00
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
08:30 - 17:00
12:30 - 13:30 휴게시간
목
08:30 - 17:00
12:30 - 13:30 휴게시간",051-262-3344
안호식소아청소년과의원,부산 사상구 가야대로 274,소아청소년과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정보없음
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화
09:00 - 18:00
13:00 - 14:00 휴게시간
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간
접기",051-311-1114
이현연합의원,경남 창원시 진해구 신항동로 141 애플타운헤리티지 2층 205호,소아청소년과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간",055-551-6220
더탄탄병원,"부산 사하구 사하로 189 상가 201호, 301호, 401호",정형외과,"금
09:00 - 17:00
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 17:00
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 17:00
12:30 - 13:30 휴게시간
목
09:00 - 17:00
12:30 - 13:30 휴게시간",0507-1397-1000
